#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
               1         1.83158         1.83158               0
               2         1.88874         1.86016       0.0202079
               3         1.89509          1.8718        0.016488
               4         1.88185         1.87431       0.0125558
               5         1.86804         1.87306       0.0101071
               6         1.89444         1.87662      0.00902895
               7         1.87662         1.87662       0.0077391
               8         1.90814         1.88056      0.00770945
               9          1.8928         1.88192       0.0069717
              10         1.84208         1.87794      0.00732504
              11         1.86942         1.87716      0.00669995
              12         1.95831         1.88393      0.00892384
              13         1.93864         1.88813       0.0091764
              14         1.95454         1.89288       0.0096693
              15         1.91412         1.89429      0.00912776
              16         1.88019         1.89341      0.00859973
              17         1.90573         1.89414      0.00812431
              18         1.89553         1.89421      0.00767333
              19         1.85725         1.89227      0.00751202
              20          1.8847         1.89189      0.00714595
