#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
               1         1.66614         1.66614               0
               2         1.70697         1.68656       0.0144377
               3         1.65702         1.67671       0.0125405
               4         1.70632         1.68411       0.0113829
               5         1.69031         1.68535      0.00917358
               6         1.62681          1.6756       0.0117382
               7         1.68568         1.67704       0.0101493
               8         1.71423         1.68169      0.00988855
               9         1.67049         1.68044      0.00886776
              10         1.70108         1.68251      0.00821771
              11         1.67627         1.68194      0.00749019
              12         1.63098         1.67769      0.00797946
              13         1.64914          1.6755      0.00766193
              14         1.66253         1.67457      0.00717043
              15         1.63607           1.672      0.00713689
              16         1.67464         1.67217      0.00669273
              17         1.67614          1.6724      0.00630311
              18         1.67632         1.67262      0.00595671
              19         1.67726         1.67286       0.0056482
              20          1.6774         1.67309      0.00537035
