#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
               1         1.20694         1.20694               0
               2         1.21361         1.21028      0.00235617
               3         1.20575         1.20877      0.00199676
               4         1.20099         1.20682      0.00225323
               5         1.20832         1.20712      0.00182231
               6         1.20582          1.2069       0.0015314
               7         1.21399         1.20792       0.0016127
               8         1.20678         1.20777      0.00141734
               9          1.2147         1.20854      0.00145381
              10         1.20478         1.20817      0.00135625
              11         1.20549         1.20792      0.00125459
              12         1.21657         1.20864      0.00134093
              13         1.20811          1.2086       0.0012384
              14         1.20514         1.20836      0.00117432
              15         1.21039         1.20849      0.00110387
              16         1.20774         1.20845      0.00103587
              17         1.20961         1.20851     0.000977216
              18         1.19713         1.20788      0.00110873
              19         1.21294         1.20815      0.00108186
              20         1.19598         1.20754      0.00118647
