#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
               1            1.56            1.56               0
               2            1.56            1.56               0
               3            1.56            1.56     2.10734e-08
               4            1.56            1.56      4.3444e-08
               5            1.56            1.56     6.32203e-08
               6            1.56            1.56      8.6888e-08
               7            1.56            1.56     1.12642e-07
               8            1.56            1.56     1.40577e-07
               9            1.56            1.56     1.70479e-07
              10            1.56            1.56     2.02239e-07
              11            1.56            1.56     2.35522e-07
              12            1.56            1.56     2.70625e-07
              13            1.56            1.56     3.07334e-07
              14            1.56            1.56       3.454e-07
              15            1.56            1.56     3.85016e-07
              16         1.56001            1.56     4.26021e-07
              17         1.56001            1.56     4.68352e-07
              18         1.56001            1.56     5.11992e-07
              19         1.56001            1.56     5.56942e-07
              20         1.56001            1.56     6.03046e-07
              21         1.56001            1.56     6.50389e-07
              22         1.56001            1.56     6.98898e-07
              23         1.56001            1.56     7.48561e-07
              24         1.56001            1.56     7.99321e-07
              25         1.56001            1.56     8.51158e-07
              26         1.56001         1.56001     9.04072e-07
              27         1.56002         1.56001     9.58036e-07
              28         1.56002         1.56001     1.01302e-06
              29         1.56002         1.56001     1.06901e-06
              30         1.56002         1.56001     1.12601e-06
              31         1.56002         1.56001     1.18396e-06
              32         1.56002         1.56001     1.24287e-06
              33         1.56002         1.56001     1.30272e-06
              34         1.56003         1.56001     1.36349e-06
              35         1.56003         1.56001     1.42518e-06
              36         1.56003         1.56001     1.48776e-06
              37         1.56003         1.56001     1.55123e-06
              38         1.56003         1.56001     1.61556e-06
              39         1.56003         1.56001     1.68076e-06
              40         1.56004         1.56001     1.74681e-06
              41         1.56004         1.56001     1.81369e-06
              42         1.56004         1.56001     1.88141e-06
              43         1.56004         1.56001     1.94994e-06
              44         1.56004         1.56001     2.01928e-06
              45         1.56005         1.56002     2.08941e-06
              46         1.56005         1.56002     2.16034e-06
              47         1.56005         1.56002     2.23205e-06
              48         1.56005         1.56002     2.30453e-06
              49         1.56005         1.56002     2.37777e-06
              50         1.56006         1.56002     2.45177e-06
              51         1.56006         1.56002     2.52652e-06
              52         1.56006         1.56002     2.60201e-06
              53         1.56006         1.56002     2.67823e-06
              54         1.56007         1.56002     2.75519e-06
              55         1.56007         1.56002     2.83285e-06
              56         1.56007         1.56002     2.91124e-06
              57         1.56007         1.56003     2.99033e-06
              58         1.56008         1.56003     3.07013e-06
              59         1.56008         1.56003     3.15061e-06
              60         1.56008         1.56003     3.23179e-06
              61         1.56009         1.56003     3.31365e-06
              62         1.56009         1.56003     3.39619e-06
              63         1.56009         1.56003      3.4794e-06
              64         1.56009         1.56003     3.56328e-06
              65          1.5601         1.56003     3.64783e-06
              66          1.5601         1.56003     3.73302e-06
              67          1.5601         1.56003     3.81888e-06
              68         1.56011         1.56004     3.90538e-06
              69         1.56011         1.56004     3.99252e-06
