#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1       -0.304661       -0.304661               0
               2       -0.361838       -0.333249        0.020215
               3       -0.368114       -0.344871       0.0164821
               4       -0.354984       -0.347399        0.012554
               5       -0.341189       -0.346157       0.0101044
               6       -0.367596        -0.34973      0.00903006
               7       -0.349752       -0.349733      0.00774005
               8       -0.381231       -0.353671      0.00770915
               9        -0.36568       -0.355005      0.00696711
              10       -0.315201       -0.351025      0.00731965
              11       -0.342668       -0.350265      0.00669354
              12       -0.431466       -0.357032      0.00892306
              13       -0.411797       -0.361244       0.0091774
              14       -0.427746       -0.365994      0.00967338
              15       -0.387348       -0.367418      0.00913263
              16       -0.353426       -0.366544      0.00860361
              17       -0.378975       -0.367275      0.00812853
              18       -0.368652       -0.367351      0.00767731
              19        -0.33038       -0.365405      0.00751579
              20       -0.357764       -0.365023      0.00714971
