#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1        -5.01519        -5.01519               0
               2        -5.05634        -5.03577       0.0145498
               3        -5.00669        -5.02607       0.0125195
               4        -5.05798        -5.03405       0.0116572
               5         -5.0414        -5.03552      0.00941782
               6        -4.97538         -5.0255       0.0120551
               7         -5.0357        -5.02695       0.0104206
               8        -5.06161        -5.03129      0.00997797
               9        -5.02315        -5.03038      0.00891012
              10        -5.05352         -5.0327      0.00831409
              11        -5.02413        -5.03192      0.00759461
              12        -4.97967        -5.02756      0.00811427
              13        -4.99687         -5.0252      0.00782613
              14        -5.00842          -5.024      0.00735836
              15        -4.98408        -5.02134      0.00733345
              16        -5.02323        -5.02146      0.00687605
              17         -5.0246        -5.02164      0.00647406
              18        -5.02672        -5.02193      0.00612054
              19        -5.02621        -5.02215      0.00580256
              20        -5.02547        -5.02232      0.00551479
