#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1        -6.65739        -6.65739               0
               2        -6.66336        -6.66038      0.00210813
               3        -6.65483        -6.65853      0.00206259
               4        -6.65066        -6.65656      0.00230098
               5        -6.65773        -6.65679      0.00185272
               6        -6.65544        -6.65657      0.00155758
               7        -6.66418        -6.65766       0.0016717
               8        -6.65687        -6.65756       0.0014656
               9          -6.665        -6.65838      0.00151794
              10        -6.65417        -6.65796      0.00142346
              11        -6.65495        -6.65769      0.00132006
              12        -6.66602        -6.65838      0.00138067
              13        -6.65747        -6.65831      0.00127624
              14        -6.65391          -6.658      0.00122317
              15        -6.65965        -6.65811      0.00114657
              16        -6.65597        -6.65798      0.00108264
              17         -6.6592        -6.65805      0.00102136
              18        -6.64558        -6.65736      0.00117614
              19        -6.66387         -6.6577      0.00116314
              20        -6.64564         -6.6571      0.00125143
