#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1      -0.0318372      -0.0318372               0
               2      -0.0318373      -0.0318373     2.52597e-08
               3      -0.0318374      -0.0318373     4.53552e-08
               4      -0.0318376      -0.0318374     6.75839e-08
               5      -0.0318378      -0.0318375     9.20461e-08
               6      -0.0318381      -0.0318376     1.18631e-07
               7      -0.0318384      -0.0318377     1.47211e-07
               8      -0.0318387      -0.0318378     1.77669e-07
               9      -0.0318391       -0.031838     2.09904e-07
              10      -0.0318396      -0.0318381     2.43826e-07
              11      -0.0318401      -0.0318383     2.79357e-07
              12      -0.0318406      -0.0318385      3.1643e-07
              13      -0.0318412      -0.0318387     3.54982e-07
              14      -0.0318419      -0.0318389     3.94961e-07
              15      -0.0318426      -0.0318392     4.36315e-07
              16      -0.0318433      -0.0318394     4.79002e-07
              17      -0.0318441      -0.0318397     5.22981e-07
              18      -0.0318449        -0.03184     5.68214e-07
              19      -0.0318458      -0.0318403     6.14668e-07
              20      -0.0318467      -0.0318406      6.6231e-07
              21      -0.0318477       -0.031841     7.11113e-07
              22      -0.0318487      -0.0318413     7.61047e-07
              23      -0.0318498      -0.0318417     8.12089e-07
              24      -0.0318509      -0.0318421     8.64214e-07
              25       -0.031852      -0.0318425       9.174e-07
              26      -0.0318533      -0.0318429     9.71626e-07
              27      -0.0318545      -0.0318433     1.02687e-06
              28      -0.0318558      -0.0318438     1.08312e-06
              29      -0.0318572      -0.0318442     1.14035e-06
              30      -0.0318586      -0.0318447     1.19855e-06
              31        -0.03186      -0.0318452      1.2577e-06
              32      -0.0318615      -0.0318457     1.31778e-06
              33      -0.0318631      -0.0318462     1.37878e-06
              34      -0.0318646      -0.0318468      1.4407e-06
              35      -0.0318663      -0.0318473      1.5035e-06
              36       -0.031868      -0.0318479     1.56719e-06
              37      -0.0318697      -0.0318485     1.63174e-06
              38      -0.0318715      -0.0318491     1.69716e-06
              39      -0.0318733      -0.0318497     1.76341e-06
              40      -0.0318752      -0.0318503     1.83051e-06
              41      -0.0318771       -0.031851     1.89843e-06
              42       -0.031879      -0.0318517     1.96716e-06
              43      -0.0318811      -0.0318523      2.0367e-06
              44      -0.0318831       -0.031853     2.10704e-06
              45      -0.0318852      -0.0318538     2.17816e-06
