#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1       0.0609732       0.0609732               0
               2      0.06287888      0.06192604    0.0006737612
               3      0.06305197      0.06230135    0.0005437481
               4      0.06268393      0.06239699     0.000416138
               5      0.06215843      0.06234928    0.0003356346
               6      0.06304567      0.06246535    0.0002990909
               7      0.06246886      0.06246585    0.0002563641
               8      0.06345745       0.0625898    0.0002525117
               9       0.0630057      0.06263601    0.0002286442
              10      0.06135135      0.06250754    0.0002391622
              11      0.06220428      0.06247997    0.0002190035
              12      0.06522837      0.06270901    0.0002972987
              13       0.0644785      0.06284512    0.0003039962
              14      0.06510944      0.06300686    0.0003224494
              15      0.06373231      0.06305522    0.0003045582
              16      0.06258347      0.06302574    0.0002869469
              17      0.06346423      0.06305153    0.0002712245
              18      0.06306839      0.06305247    0.0002561581
              19      0.06180768      0.06298695    0.0002509144
              20      0.06274058      0.06297463    0.0002386709
