#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1       0.9008514       0.9008514               0
               2       0.9197501       0.9103008      0.00668169
               3       0.8958267       0.9054761     0.005946483
               4       0.9196895       0.9090294     0.005418499
               5       0.9121473        0.909653     0.004370534
               6       0.8822791       0.9050907     0.005532682
               7       0.9097219       0.9057523     0.004781693
               8       0.9238504       0.9080146     0.004688689
               9       0.9022358       0.9073725     0.004211458
              10         0.91702       0.9083372     0.003899249
              11       0.9071166       0.9082263      0.00354635
              12       0.8844094       0.9062415      0.00376547
              13       0.8926978       0.9051997     0.003617073
              14       0.8987579       0.9047396      0.00338785
              15       0.8859165       0.9034847     0.003386433
              16       0.9054139       0.9036053     0.003176927
              17        0.905654       0.9037258     0.002992333
              18       0.9047135       0.9037807     0.002826596
              19       0.9051077       0.9038505      0.00267869
              20       0.9065547       0.9039857     0.002548166
