#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1       0.9662309       0.9662309               0
               2       0.9707099       0.9684704     0.001583576
               3       0.9654221       0.9674543     0.001342711
               4       0.9619685       0.9660828     0.001557173
               5       0.9668703       0.9662403     0.001253677
               6       0.9652733       0.9660792     0.001055041
               7       0.9709105       0.9667693     0.001107296
               8       0.9657755       0.9666451    0.0009758286
               9       0.9715028       0.9671848     0.001005653
              10       0.9646771       0.9669341    0.0009358328
              11       0.9652839       0.9667841    0.0008626976
              12       0.9726986       0.9672769    0.0009209018
              13       0.9669581       0.9672524    0.0008503898
              14       0.9648112        0.967078    0.0008073275
              15       0.9684505       0.9671695    0.0007586728
              16       0.9667008       0.9671402     0.000711821
              17       0.9679536       0.9671881    0.0006715551
              18        0.959512       0.9667616    0.0007576431
              19       0.9701307        0.966939    0.0007382253
              20       0.9586773       0.9665259    0.0008086693
