#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1      0.05197056      0.05197056               0
               2      0.05197056      0.05197056               0
               3      0.05197056      0.05197056    5.376993e-10
               4      0.05197056      0.05197056    1.232024e-09
               5      0.05197057      0.05197056    1.975634e-09
               6      0.05197058      0.05197056    2.754889e-09
               7      0.05197058      0.05197057    3.598398e-09
               8      0.05197059      0.05197057     4.50273e-09
               9      0.05197061      0.05197057    5.483479e-09
              10      0.05197062      0.05197058     6.50594e-09
              11      0.05197063      0.05197058    7.589513e-09
              12      0.05197065      0.05197059    8.724161e-09
              13      0.05197067      0.05197059    9.911882e-09
              14      0.05197069       0.0519706    1.114812e-08
              15      0.05197071      0.05197061    1.243121e-08
              16      0.05197073      0.05197062     1.37587e-08
              17      0.05197075      0.05197062    1.512967e-08
              18      0.05197078      0.05197063    1.654318e-08
              19       0.0519708      0.05197064    1.799698e-08
              20      0.05197083      0.05197065    1.949225e-08
              21      0.05197086      0.05197066    2.102584e-08
              22      0.05197089      0.05197067     2.25969e-08
              23      0.05197093      0.05197068    2.420465e-08
              24      0.05197096      0.05197069    2.584875e-08
              25        0.051971      0.05197071    2.752779e-08
              26      0.05197104      0.05197072    2.924184e-08
              27      0.05197108      0.05197073    3.098945e-08
              28      0.05197112      0.05197075    3.277092e-08
              29      0.05197116      0.05197076    3.458456e-08
              30       0.0519712      0.05197078    3.643067e-08
              31      0.05197125      0.05197079    3.830804e-08
              32      0.05197129      0.05197081    4.021623e-08
              33      0.05197134      0.05197082    4.215495e-08
              34      0.05197139      0.05197084    4.412393e-08
              35      0.05197144      0.05197086    4.612203e-08
              36       0.0519715      0.05197087    4.814949e-08
              37      0.05197155      0.05197089    5.020558e-08
              38      0.05197161      0.05197091    5.228989e-08
              39      0.05197166      0.05197093    5.440215e-08
              40      0.05197172      0.05197095    5.654171e-08
              41      0.05197178      0.05197097    5.870874e-08
              42      0.05197185      0.05197099    6.090253e-08
              43      0.05197191      0.05197101     6.31228e-08
              44      0.05197198      0.05197103    6.536931e-08
              45      0.05197204      0.05197106    6.764149e-08
              46      0.05197211      0.05197108    6.993957e-08
              47      0.05197218       0.0519711    7.226269e-08
              48      0.05197225      0.05197113    7.461105e-08
              49      0.05197232      0.05197115    7.698426e-08
              50       0.0519724      0.05197118    7.938191e-08
              51      0.05197247       0.0519712    8.180383e-08
              52      0.05197255      0.05197123    8.424986e-08
              53      0.05197263      0.05197125    8.671955e-08
              54      0.05197271      0.05197128    8.921291e-08
              55      0.05197279      0.05197131    9.172954e-08
