#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1        1.542512        1.542512               0
               2        1.542503        1.542507    3.038851e-06
               3        1.542469        1.542495    1.048756e-05
               4        1.542411        1.542474    1.973036e-05
               5        1.542328        1.542445    3.049864e-05
               6         1.54222        1.542407    4.260362e-05
               7        1.542087        1.542361    5.591535e-05
               8        1.541929        1.542307    7.033863e-05
               9        1.541746        1.542245    8.580071e-05
              10        1.541539        1.542174    0.0001022444
              11        1.541306        1.542095     0.000119624
              12        1.541047        1.542008    0.0001379024
              13        1.540763        1.541912    0.0001570494
              14        1.540454        1.541808    0.0001770402
              15        1.540118        1.541695    0.0001978548
              16        1.539757        1.541574    0.0002194766
              17        1.539369        1.541445    0.0002418927
              18        1.538954        1.541306    0.0002650927
              19        1.538512        1.541159    0.0002890688
              20        1.538043        1.541003    0.0003138152
              21        1.537546        1.540839    0.0003393283
              22         1.53702        1.540665     0.000365606
              23        1.536466        1.540483     0.000392648
              24        1.535884        1.540291    0.0004204551
              25        1.535273         1.54009    0.0004489918
              26        1.534633         1.53988    0.0004782671
              27        1.533961        1.539661    0.0005083196
              28        1.533258        1.539432     0.000539151
              29        1.532524        1.539194    0.0005707694
              30        1.531759        1.538946    0.0006031543
              31        1.530964        1.538689    0.0006362908
              32        1.530134        1.538422     0.000670219
              33        1.529268        1.538144    0.0007049723
              34        1.528374        1.537857    0.0007404864
              35        1.527443        1.537559    0.0007768064
              36        1.526473        1.537251    0.0008139887
              37        1.525465        1.536933    0.0008520435
              38        1.524424        1.536604    0.0008909444
              39        1.523342        1.536264    0.0009307317
              40        1.522223        1.535913    0.0009714001
              41         1.52106         1.53555     0.001013006
              42        1.519858        1.535177     0.001055545
              43        1.518618        1.534792     0.001099002
              44        1.517333        1.534395     0.001143415
              45           1.516        1.533986     0.001188834
              46         1.51463        1.533565     0.001235211
              47        1.513211        1.533132     0.001282603
              48        1.511743        1.532687     0.001331043
              49        1.510231        1.532228     0.001380521
              50        1.508667        1.531757     0.001431074
              51        1.507052        1.531273     0.001482737
              52        1.505391        1.530775      0.00153549
              53        1.503673        1.530264     0.001589385
              54          1.5019        1.529738     0.001644455
              55        1.500073        1.529199      0.00170071
              56        1.498197        1.528645     0.001758136
              57        1.496257        1.528077     0.001816796
              58        1.494258        1.527494     0.001876709
              59        1.492203        1.526896     0.001937881
              60        1.490088        1.526282     0.002000326
              61        1.487907        1.525653     0.002064092
              62        1.485659        1.525008     0.002129212
              63        1.483353        1.524347     0.002195678
              64        1.480978        1.523669     0.002263525
              65        1.478532        1.522975     0.002332789
