#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1        1.725973        1.725973               0
               2        1.725849        1.725911    4.384761e-05
               3        1.725431        1.725751    0.0001339597
               4        1.724719        1.725493    0.0002450281
               5        1.723714        1.725137    0.0003737932
               6        1.722416        1.724684    0.0005180561
               7        1.720827        1.724133    0.0006762593
               8        1.718947        1.723485    0.0008472237
               9        1.716783         1.72274     0.001029549
              10         1.71433        1.721899     0.001222731
              11         1.71161        1.720964     0.001425121
              12        1.708599        1.719933     0.001637032
              13        1.705298        1.718807      0.00185832
              14        1.701727        1.717587     0.002088015
              15         1.69788        1.716274     0.002325718
              16        1.693733        1.714865      0.00257189
              17        1.689344        1.713364     0.002824954
              18        1.684657        1.711769     0.003085509
              19        1.679706        1.710081      0.00335296
              20        1.674486        1.708301     0.003627047
              21        1.668983        1.706429     0.003907806
              22         1.66322        1.704465     0.004194803
              23        1.657178        1.702409     0.004488072
              24        1.650844        1.700261     0.004787814
              25        1.644231        1.698019      0.00509391
              26        1.637353        1.695686      0.00540604
              27        1.630224        1.693262     0.005723737
              28        1.622826        1.690746     0.006046895
              29        1.615155        1.688139     0.006375477
              30        1.607226        1.685442     0.006709248
              31         1.59904        1.682655     0.007048007
              32        1.590554        1.679777     0.007392099
              33        1.581802        1.676808     0.007741392
              34        1.572783        1.673748     0.008095765
              35        1.563538          1.6706     0.008454691
              36        1.554012        1.667361     0.008818306
              37        1.544248        1.664034     0.009186303
              38        1.534228        1.660618     0.009558596
              39        1.523967        1.657114     0.009934966
              40        1.513458        1.653522      0.01031532
              41        1.502708        1.649844      0.01069949
              42        1.491703        1.646079      0.01108749
              43        1.480497        1.642228      0.01147887
              44         1.46905        1.638292      0.01187359
              45        1.457372        1.634272      0.01227154
              46        1.445475        1.630167      0.01267255
              47        1.433362         1.62598      0.01307644
              48        1.421053        1.621711      0.01348295
              49         1.40854         1.61736      0.01389193
              50        1.395809        1.612929      0.01430331
              51        1.382886        1.608419      0.01471691
              52        1.369776        1.603829      0.01513254
              53        1.356493        1.599163      0.01554996
              54        1.343069         1.59442      0.01596882
              55        1.329441        1.589602      0.01638914
              56        1.315682        1.584711      0.01681058
              57        1.301766        1.579747      0.01723297
              58         1.28769        1.574712      0.01765621
              59        1.273475        1.569606      0.01808011
              60        1.259141        1.564431      0.01850441
              61        1.244686         1.55919      0.01892892
              62        1.230125        1.553882       0.0193534
              63        1.215475        1.548511       0.0197776
              64        1.200739        1.543077      0.02020128
              65        1.185923        1.537582      0.02062422
              66        1.171056        1.532029      0.02104614
              67         1.15613        1.526418       0.0214668
              68        1.141163        1.520753      0.02188597
              69        1.126187        1.515034      0.02230332
              70        1.111174        1.509265      0.02271866
              71        1.096158        1.503446      0.02313176
              72        1.081162        1.497581      0.02354229
              73         1.06618        1.491672      0.02395003
              74        1.051219         1.48572      0.02435475
              75        1.036305        1.479728       0.0247562
              76         1.02145        1.473698      0.02515412
              77        1.006682        1.467632      0.02554819
              78        0.991986        1.461534       0.0259382
              79       0.9773965        1.455406      0.02632388
              80       0.9629134         1.44925      0.02670497
              81        0.948563        1.443069      0.02708122
              82       0.9343457        1.436865      0.02745239
              83        0.920281        1.430641      0.02781822
              84       0.9063883          1.4244      0.02817846
              85       0.8926609        1.418144       0.0285329
              86       0.8791316        1.411876       0.0288813
              87       0.8658066          1.4056      0.02922341
              88       0.8527039        1.399317      0.02955901
              89       0.8398225         1.39303       0.0298879
              90        0.827187        1.386743      0.03020985
              91       0.8147943        1.380458      0.03052468
              92       0.8026812        1.374178      0.03083217
              93       0.7908187        1.367905      0.03113218
              94        0.779236        1.361643      0.03142454
              95       0.7679421        1.355393      0.03170909
              96       0.7569521        1.349159      0.03198567
              97       0.7462678        1.342944      0.03225415
              98         0.73589         1.33675      0.03251441
              99       0.7258388        1.330579      0.03276632
             100       0.7161205        1.324434      0.03300977
             101       0.7067281        1.318318      0.03324467
             102       0.6976669        1.312234      0.03347097
             103       0.6889476        1.306182      0.03368859
             104       0.6805739        1.300167      0.03389747
             105       0.6725562         1.29419      0.03409755
             106       0.6648842        1.288253      0.03428883
             107       0.6575723        1.282358      0.03447125
             108       0.6506153        1.276509      0.03464482
             109       0.6440076        1.270706      0.03480955
             110       0.6377494        1.264952      0.03496545
             111       0.6318533        1.259248      0.03511256
             112       0.6263052        1.253597       0.0352509
             113       0.6211106           1.248      0.03538052
             114       0.6162806        1.242459      0.03550147
             115       0.6117993        1.236975      0.03561381
             116       0.6076505        1.231549      0.03571762
             117       0.6038502        1.226184        0.035813
             118       0.6003941        1.220881      0.03590002
             119       0.5972712        1.215641      0.03597878
             120       0.5944701        1.210464      0.03604941
             121       0.5919923        1.205353      0.03611203
             122       0.5898386        1.200308      0.03616674
             123       0.5879896         1.19533      0.03621369
             124       0.5864455        1.190419      0.03625303
             125       0.5851928        1.185577      0.03628489
