#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
               1        1.221055        1.221055               0
               2        1.259159        1.240107      0.01347191
               3        1.263392        1.247869      0.01099203
               4        1.254565        1.249543     0.008370543
               5        1.245361        1.248706     0.006738079
               6         1.26296        1.251082       0.0060193
               7        1.251083        1.251082       0.0051594
               8        1.272093        1.253708     0.005139633
               9        1.261866        1.254615     0.004647798
              10        1.228053        1.251959      0.00488336
              11        1.246279        1.251442     0.004466634
              12        1.305539         1.25595     0.005949225
              13        1.292427        1.258756     0.006117602
              14        1.303024        1.261918       0.0064462
              15        1.276078        1.262862     0.006085176
              16        1.253461        1.262275     0.005733152
              17        1.270484        1.262758     0.005416208
              18        1.263685        1.262809     0.005115553
              19        1.238168        1.261512     0.005008012
              20        1.256464         1.26126     0.004763969
