#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
               1        1.110759        1.110759               0
               2        1.137983        1.124371     0.009625101
               3         1.10468        1.117807     0.008360323
               4         1.13755        1.122743     0.007588615
               5        1.126875        1.123569     0.006115721
               6        1.084538        1.117064     0.007825489
               7        1.123785        1.118024     0.006766209
               8        1.142823        1.121124     0.006592368
               9        1.113659        1.120294     0.005911837
              10        1.134055        1.121671     0.005478471
              11        1.117511        1.121292     0.004993458
              12        1.087321        1.118461     0.005319637
              13        1.099427        1.116997     0.005107955
              14        1.108352         1.11638     0.004780284
              15        1.090716        1.114669     0.004757929
              16        1.116424        1.114779     0.004461823
              17        1.117424        1.114934     0.004202075
              18         1.11755        1.115079     0.003971137
              19        1.118172        1.115242     0.003765465
              20        1.118268        1.115394      0.00358023
