#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
               1       0.8046287       0.8046287               0
               2       0.8090715       0.8068501     0.001570782
               3       0.8038305       0.8058436      0.00133117
               4       0.8006596       0.8045476     0.001502155
               5       0.8055441       0.8047469     0.001214873
               6        0.803881       0.8046026      0.00102093
               7       0.8093251       0.8052772     0.001075131
               8       0.8045204       0.8051826    0.0009448924
               9       0.8097996       0.8056956    0.0009692076
              10       0.8031871       0.8054448    0.0009041661
              11       0.8036605       0.8052826    0.0008363931
              12       0.8110444       0.8057627    0.0008939528
              13       0.8054084       0.8057355    0.0008256025
              14         0.80343       0.8055708     0.000782882
              15       0.8069296       0.8056614    0.0007359118
              16       0.8051623       0.8056302    0.0006905782
              17       0.8064098        0.805676    0.0006514771
              18       0.7980895       0.8052546    0.0007391528
              19       0.8086265        0.805432    0.0007212412
              20       0.7973227       0.8050266    0.0007909826
