#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
               1            1.04            1.04               0
               2            1.04            1.04               0
               3            1.04            1.04    1.490116e-08
               4            1.04            1.04    2.787752e-08
               5            1.04            1.04    4.214685e-08
               6            1.04            1.04    5.771195e-08
               7        1.040001            1.04    7.471838e-08
               8        1.040001            1.04    9.365235e-08
               9        1.040001            1.04    1.135925e-07
              10        1.040001            1.04    1.347711e-07
              11        1.040002        1.040001    1.570578e-07
              12        1.040002        1.040001    1.804107e-07
              13        1.040002        1.040001    2.049405e-07
              14        1.040003        1.040001    2.302975e-07
              15        1.040003        1.040001    2.567443e-07
              16        1.040004        1.040001    2.840274e-07
              17        1.040004        1.040001    3.122349e-07
              18        1.040005        1.040002    3.413562e-07
              19        1.040005        1.040002    3.712878e-07
              20        1.040006        1.040002    4.020553e-07
              21        1.040006        1.040002    4.335993e-07
              22        1.040007        1.040002    4.659497e-07
              23        1.040008        1.040003    4.990463e-07
              24        1.040008        1.040003    5.328771e-07
              25        1.040009        1.040003    5.674506e-07
              26         1.04001        1.040003    6.027359e-07
              27        1.040011        1.040004    6.387124e-07
              28        1.040012        1.040004    6.753719e-07
              29        1.040012        1.040004    7.126927e-07
              30        1.040013        1.040005    7.506794e-07
              31        1.040014        1.040005    7.893216e-07
              32        1.040015        1.040005    8.285819e-07
              33        1.040016        1.040005    8.684845e-07
              34        1.040017        1.040006    9.089996e-07
              35        1.040018        1.040006    9.501287e-07
              36        1.040019        1.040007    9.918418e-07
              37         1.04002        1.040007    1.034151e-06
              38        1.040022        1.040007    1.077042e-06
              39        1.040023        1.040008    1.120507e-06
              40        1.040024        1.040008    1.164538e-06
              41        1.040025        1.040009     1.20913e-06
              42        1.040027        1.040009    1.254271e-06
              43        1.040028        1.040009    1.299955e-06
              44        1.040029         1.04001    1.346186e-06
              45        1.040031         1.04001    1.392943e-06
              46        1.040032        1.040011    1.440225e-06
              47        1.040033        1.040011    1.488028e-06
              48        1.040035        1.040012     1.53635e-06
              49        1.040036        1.040012    1.585178e-06
              50        1.040038        1.040013    1.634511e-06
              51         1.04004        1.040013    1.684344e-06
              52        1.040041        1.040014    1.734669e-06
              53        1.040043        1.040014    1.785484e-06
              54        1.040044        1.040015    1.836786e-06
              55        1.040046        1.040016    1.888565e-06
              56        1.040048        1.040016    1.940823e-06
              57         1.04005        1.040017    1.993551e-06
              58        1.040051        1.040017    2.046747e-06
              59        1.040053        1.040018    2.100405e-06
              60        1.040055        1.040019    2.154525e-06
              61        1.040057        1.040019    2.209098e-06
              62        1.040059         1.04002    2.264122e-06
