#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
               1               2               2               0
               2        1.999982        1.999991    6.371026e-06
               3        1.999928         1.99997    1.766856e-05
               4        1.999838        1.999937    3.148696e-05
               5        1.999712        1.999892    4.744091e-05
               6        1.999551        1.999835    6.528036e-05
               7        1.999353        1.999766    8.483011e-05
               8         1.99912        1.999685    0.0001059599
               9         1.99885        1.999593    0.0001285691
              10        1.998544        1.999488    0.0001525778
              11        1.998202        1.999371    0.0001779217
              12        1.997824        1.999242    0.0002045481
              13        1.997408        1.999101    0.0002324139
              14        1.996956        1.998948    0.0002614833
              15        1.996466        1.998782    0.0002917272
              16        1.995939        1.998605    0.0003231212
              17        1.995374        1.998415    0.0003556459
              18         1.99477        1.998212    0.0003892855
              19        1.994127        1.997997    0.0004240278
              20        1.993445        1.997769    0.0004598633
              21        1.992724        1.997529    0.0004967856
              22        1.991962        1.997276    0.0005347903
              23        1.991159         1.99701    0.0005738755
              24        1.990315        1.996731    0.0006140412
              25        1.989428        1.996439    0.0006552891
              26          1.9885        1.996134    0.0006976163
              27        1.987528        1.995815    0.0007410173
              28        1.986513        1.995483    0.0007854978
              29        1.985453        1.995137    0.0008310705
              30        1.984347        1.994777    0.0008777484
              31        1.983195        1.994404    0.0009255405
              32        1.981997        1.994016    0.0009744497
              33        1.980751        1.993614     0.001024483
              34        1.979456        1.993198     0.001075656
              35        1.978112        1.992766     0.001127981
              36        1.976717        1.992321     0.001181465
              37        1.975272         1.99186     0.001236127
              38        1.973772        1.991384     0.001291993
              39        1.972219        1.990893     0.001349082
              40        1.970611        1.990385     0.001407412
              41        1.968947        1.989863     0.001467003
              42        1.967226        1.989324     0.001527878
              43        1.965445        1.988768     0.001590061
              44        1.963605        1.988196     0.001653574
              45        1.961704        1.987608     0.001718434
              46        1.959741        1.987002     0.001784669
              47        1.957713        1.986379     0.001852302
              48        1.955621        1.985738     0.001921354
              49        1.953462        1.985079     0.001991852
              50        1.951235        1.984402     0.002063822
              51        1.948939        1.983707     0.002137291
              52        1.946571        1.982993     0.002212286
              53        1.944131         1.98226     0.002288835
              54        1.941617        1.981507     0.002366965
              55        1.939026        1.980735     0.002446706
              56        1.936358        1.979942     0.002528089
              57        1.933611        1.979129     0.002611141
              58        1.930783        1.978296     0.002695887
              59        1.927875        1.977441     0.002782352
              60        1.924882        1.976565     0.002870566
              61        1.921804        1.975667     0.002960558
              62        1.918637        1.974748     0.003052361
              63        1.915381        1.973805     0.003146007
              64        1.912034         1.97284     0.003241524
              65        1.908594        1.971852     0.003338946
              66        1.905059         1.97084     0.003438303
              67        1.901426        1.969804     0.003539631
              68        1.897695        1.968743      0.00364296
              69        1.893862        1.967658     0.003748323
              70        1.889927        1.966548     0.003855755
              71        1.885886        1.965412     0.003965285
              72         1.88174        1.964249     0.004076945
              73        1.877487        1.963061      0.00419076
              74        1.873123        1.961846      0.00430676
              75        1.868649        1.960603     0.004424971
              76        1.864062        1.959333     0.004545422
              77         1.85936        1.958034     0.004668139
              78        1.854541        1.956707     0.004793147
              79        1.849605        1.955352     0.004920471
              80         1.84455        1.953967     0.005050133
              81        1.839374        1.952552     0.005182155
              82        1.834075        1.951107     0.005316562
              83        1.828653        1.949632     0.005453373
              84        1.823105        1.948126     0.005592607
              85        1.817432        1.946588     0.005734281
              86        1.811632        1.945019     0.005878406
              87        1.805704        1.943417     0.006024997
              88        1.799647        1.941784     0.006174066
              89         1.79346        1.940117     0.006325622
              90        1.787143        1.938417     0.006479673
              91        1.780696        1.936684     0.006636221
              92        1.774118        1.934917     0.006795268
              93        1.767409        1.933116     0.006956815
              94        1.760569         1.93128     0.007120859
              95        1.753599         1.92941      0.00728739
              96          1.7465        1.927505     0.007456397
              97        1.739271        1.925564     0.007627868
              98        1.731914        1.923588     0.007801783
              99         1.72443        1.921576     0.007978123
             100         1.71682        1.919529     0.008156862
             101        1.709086        1.917445     0.008337972
             102        1.701229        1.915326     0.008521424
             103        1.693251        1.913169     0.008707182
             104        1.685154        1.910977     0.008895206
             105        1.676941        1.908748     0.009085453
             106        1.668615        1.906483     0.009277877
             107        1.660178        1.904181     0.009472426
             108        1.651633        1.901842     0.009669045
             109        1.642984        1.899468     0.009867676
             110        1.634234        1.897056      0.01006826
             111        1.625388        1.894609      0.01027072
             112        1.616449        1.892125      0.01047499
             113        1.607421        1.889606        0.010681
             114        1.598309        1.887051      0.01088866
             115        1.589117         1.88446       0.0110979
             116         1.57985        1.881834      0.01130864
             117        1.570512        1.879173      0.01152077
             118         1.56111        1.876478      0.01173423
             119        1.551647        1.873748      0.01194889
             120         1.54213        1.870984      0.01216469
             121        1.532563        1.868187       0.0123815
             122        1.522951        1.865358      0.01259924
             123        1.513301        1.862495      0.01281781
             124        1.503618        1.859601      0.01303708
             125        1.493907        1.856676      0.01325698
             126        1.484174        1.853719      0.01347737
             127        1.474425        1.850733      0.01369817
             128        1.464666        1.847717      0.01391924
