#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
               1            1.55            1.55               0
               2        1.549855        1.549928    5.111099e-05
               3        1.549422        1.549759    0.0001417508
               4        1.548701        1.549495    0.0002526093
               5        1.547692        1.549134      0.00038055
               6        1.546396        1.548678    0.0005235079
               7        1.544815        1.548126    0.0006800069
               8        1.542947        1.547479    0.0008489213
               9        1.540795        1.546736     0.001029354
              10         1.53836        1.545898     0.001220513
              11        1.535643        1.544966     0.001421719
              12        1.532647         1.54394     0.001632335
              13        1.529373        1.542819      0.00185182
              14        1.525822        1.541605     0.002079803
              15        1.521993        1.540297      0.00231594
              16        1.517889        1.538897     0.002559878
              17         1.51351        1.537404     0.002811347
              18        1.508857        1.535818     0.003070067
              19        1.503933         1.53414     0.003335759
              20        1.498737        1.532369     0.003608194
              21        1.493272        1.530508     0.003887141
              22        1.487538        1.528554     0.004172397
              23        1.481537         1.52651     0.004463771
              24        1.475269        1.524375     0.004761082
              25        1.468735         1.52215     0.005064183
              26        1.461934        1.519834     0.005372949
              27        1.454868        1.517427     0.005687253
              28        1.447539        1.514931     0.006006945
              29        1.439949        1.512346     0.006331868
              30          1.4321        1.509671     0.006661876
              31        1.423994        1.506907     0.006996827
              32        1.415632        1.504055     0.007336576
              33        1.407015        1.501114     0.007680994
              34        1.398145        1.498086     0.008029968
              35        1.389022         1.49497     0.008383383
              36         1.37965        1.491766     0.008741111
              37        1.370033        1.488476     0.009103017
              38        1.360171          1.4851     0.009468968
              39        1.350069        1.481637     0.009838828
              40         1.33973         1.47809      0.01021246
              41        1.329157        1.474457      0.01058971
              42        1.318354        1.470741      0.01097045
              43        1.307324         1.46694      0.01135452
              44         1.29607        1.463057      0.01174179
              45        1.284599        1.459091      0.01213209
              46        1.272914        1.455044      0.01252528
              47        1.261019        1.450915      0.01292118
              48        1.248921        1.446707      0.01331965
              49        1.236624         1.44242      0.01372051
              50        1.224134        1.438054       0.0141236
              51        1.211457        1.433611      0.01452873
              52        1.198599        1.429092      0.01493573
              53        1.185566        1.424497      0.01534443
              54        1.172365        1.419828      0.01575464
              55        1.159005        1.415085      0.01616616
              56        1.145492        1.410271      0.01657881
              57        1.131834        1.405386      0.01699237
              58         1.11804        1.400432      0.01740664
              59        1.104117         1.39541      0.01782143
              60        1.090074        1.390321      0.01823651
              61         1.07592        1.385167      0.01865168
              62        1.061664        1.379949      0.01906672
              63        1.047317        1.374669       0.0194814
              64        1.032888        1.369329      0.01989551
              65        1.018387         1.36393       0.0203088
              66        1.003826        1.358474      0.02072104
              67       0.9892161        1.352962      0.02113201
              68       0.9745676        1.347398      0.02154144
              69       0.9598926        1.341782      0.02194911
              70       0.9452029        1.336116      0.02235476
              71       0.9305107        1.330403      0.02275815
              72       0.9158279        1.324645      0.02315902
              73       0.9011672        1.318844      0.02355713
              74       0.8865412        1.313002      0.02395221
              75       0.8719623        1.307122      0.02434401
              76       0.8574433        1.301205      0.02473229
              77       0.8429969        1.295254      0.02511679
              78       0.8286365        1.289272      0.02549725
              79       0.8143749        1.283261      0.02587343
              80       0.8002251        1.277223      0.02624508
              81       0.7862001        1.271161      0.02661195
              82       0.7723128        1.265077       0.0269738
              83        0.758576        1.258975      0.02733039
              84       0.7450021        1.252856      0.02768149
              85       0.7316038        1.246724      0.02802686
              86       0.7183937         1.24058      0.02836628
              87       0.7053844        1.234429      0.02869952
              88       0.6925868        1.228271      0.02902638
              89       0.6800128        1.222111      0.02934664
              90       0.6676735        1.215951      0.02966012
              91       0.6555786        1.209793      0.02996661
              92       0.6437384         1.20364      0.03026594
              93       0.6321629        1.197495      0.03055794
              94       0.6208614        1.191361      0.03084244
              95       0.6098425        1.185239      0.03111929
              96       0.5991148        1.179134      0.03138835
              97       0.5886859        1.173047      0.03164948
              98       0.5785633        1.166981      0.03190258
