#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1        1.526921        1.526921               0
               2        1.526901        1.526911    7.119309e-06
               3        1.526974        1.526932    1.775198e-05
               4        1.526863        1.526915    1.997882e-05
               5        1.526853        1.526902    1.946879e-05
               6        1.526844        1.526893    1.848211e-05
               7        1.526872         1.52689    1.608461e-05
               8        1.526908        1.526892    1.423951e-05
               9        1.527119        1.526917     2.68896e-05
              10        1.526879        1.526913    2.446587e-05
              11        1.526751        1.526899    2.633733e-05
              12        1.526842        1.526894    2.455838e-05
              13        1.526844         1.52689     2.29727e-05
              14         1.52679        1.526883    2.241832e-05
              15        1.526769        1.526875    2.218036e-05
              16        1.526765        1.526868    2.184583e-05
              17        1.526751        1.526861    2.162721e-05
              18        1.526876        1.526862    2.044072e-05
              19        1.526872        1.526863    1.937135e-05
              20        1.526931        1.526866    1.870122e-05
