#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1       -3.349054       -3.349054               0
               2       -3.349371       -3.349212    0.0001121603
               3       -3.349666       -3.349364    0.0001443394
               4       -3.351657       -3.349937    0.0005082055
               5       -3.351083       -3.350166    0.0004553592
               6        -3.34857         -3.3499    0.0004505054
               7       -3.350021       -3.349918    0.0003864799
               8       -3.347376         -3.3496    0.0004501897
               9       -3.352666       -3.349941    0.0005131258
              10       -3.352436        -3.35019     0.000518965
              11       -3.347866       -3.349979    0.0005129882
              12       -3.348691       -3.349872    0.0004813342
              13       -3.347726       -3.349707     0.000471754
              14       -3.345892       -3.349434    0.0005107224
              15       -3.348002       -3.349339    0.0004855119
              16       -3.348589       -3.349292    0.0004574196
              17       -3.348463       -3.349243    0.0004331056
              18       -3.350401       -3.349307    0.0004137904
              19       -3.348952       -3.349289    0.0003924345
              20       -3.348064       -3.349227    0.0003775565
