#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1       -5.450451       -5.450451               0
               2        -5.44975         -5.4501    0.0002480397
               3       -5.449083       -5.449761    0.0003225199
               4        -5.44967       -5.449738    0.0002427005
               5       -5.449418       -5.449674    0.0002024605
               6       -5.449621       -5.449665     0.000168911
               7       -5.450188        -5.44974    0.0001604494
               8       -5.450093       -5.449784    0.0001463297
               9       -5.450296       -5.449841    0.0001406835
              10       -5.449389       -5.449796     0.000133677
              11       -5.449464       -5.449766    0.0001248858
              12       -5.449456        -5.44974    0.0001171204
              13       -5.449359        -5.44971    0.0001117039
              14       -5.448768       -5.449643    0.0001223227
              15       -5.449256       -5.449617    0.0001168589
              16       -5.448231       -5.449531    0.0001379949
              17       -5.449587       -5.449534    0.0001299169
              18        -5.44845       -5.449474    0.0001359375
              19        -5.45093        -5.44955     0.000148833
              20        -5.44966       -5.449556    0.0001414925
