#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1        1.528163        1.528163               0
               2        1.528163        1.528163    1.490116e-08
               3        1.528163        1.528163    2.107342e-08
               4        1.528163        1.528163    2.580957e-08
               5        1.528163        1.528163    2.827297e-08
               6        1.528163        1.528163    3.219019e-08
               7        1.528162        1.528163    3.562059e-08
               8        1.528162        1.528163    3.799066e-08
               9        1.528162        1.528163    4.035254e-08
              10        1.528162        1.528163    4.318767e-08
              11        1.528162        1.528163    4.447714e-08
              12        1.528162        1.528163    4.712161e-08
              13        1.528162        1.528162     4.89004e-08
              14        1.528162        1.528162    5.100092e-08
              15        1.528162        1.528162    5.275376e-08
              16        1.528162        1.528162    5.500325e-08
              17        1.528162        1.528162    5.668435e-08
              18        1.528162        1.528162     5.79253e-08
              19        1.528162        1.528162    5.960464e-08
              20        1.528162        1.528162    6.125809e-08
              21        1.528162        1.528162     6.25477e-08
              22        1.528162        1.528162    6.385567e-08
              23        1.528162        1.528162    6.532318e-08
              24        1.528162        1.528162    6.664002e-08
              25        1.528162        1.528162    6.822063e-08
              26        1.528162        1.528162    6.940216e-08
              27        1.528162        1.528162     7.08277e-08
              28        1.528161        1.528162    7.201616e-08
              29        1.528161        1.528162    7.352304e-08
              30        1.528161        1.528162    7.480324e-08
              31        1.528161        1.528162    7.607552e-08
              32        1.528161        1.528162    7.715939e-08
              33        1.528161        1.528162    7.833585e-08
              34        1.528161        1.528162    7.942719e-08
              35        1.528161        1.528162    8.060019e-08
              36        1.528161        1.528162    8.184342e-08
              37        1.528161        1.528162    8.278512e-08
              38        1.528161        1.528162    8.394638e-08
              39        1.528161        1.528162    8.510035e-08
              40        1.528161        1.528162    8.618232e-08
              41        1.528161        1.528162    8.726113e-08
              42        1.528161        1.528162    8.833619e-08
              43        1.528161        1.528162    8.940697e-08
              44        1.528161        1.528162    9.047304e-08
              45        1.528161        1.528162    9.148013e-08
              46        1.528161        1.528162    9.248537e-08
              47        1.528161        1.528162    9.343771e-08
              48        1.528161        1.528162    9.439036e-08
              49         1.52816        1.528162    9.539024e-08
              50         1.52816        1.528162    9.643251e-08
              51         1.52816        1.528162     9.74234e-08
              52         1.52816        1.528162    9.836677e-08
              53         1.52816        1.528162    9.922386e-08
              54         1.52816        1.528162    1.002886e-07
              55         1.52816        1.528161    1.011445e-07
              56         1.52816        1.528161    1.021572e-07
              57         1.52816        1.528161    1.030872e-07
              58         1.52816        1.528161    1.040141e-07
              59         1.52816        1.528161    1.048659e-07
              60         1.52816        1.528161    1.057528e-07
              61         1.52816        1.528161    1.065694e-07
              62         1.52816        1.528161    1.074205e-07
              63         1.52816        1.528161    1.083358e-07
