#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1       -3.364719       -3.364719               0
               2       -3.364665       -3.364692     1.90871e-05
               3       -3.364612       -3.364666     2.54223e-05
               4       -3.364558       -3.364639    3.012347e-05
               5       -3.364504       -3.364612    3.406374e-05
               6        -3.36445       -3.364585    3.754353e-05
               7       -3.364396       -3.364558    4.070764e-05
               8       -3.364342       -3.364531    4.363947e-05
               9       -3.364288       -3.364504    4.639272e-05
              10       -3.364233       -3.364477    4.900462e-05
              11       -3.364179        -3.36445    5.150249e-05
              12       -3.364124       -3.364423    5.390716e-05
              13       -3.364068       -3.364395    5.623505e-05
              14       -3.364012       -3.364368    5.849946e-05
              15       -3.363956        -3.36434    6.071139e-05
              16       -3.363899       -3.364313    6.288008e-05
              17       -3.363841       -3.364285    6.501345e-05
              18       -3.363783       -3.364257    6.711834e-05
              19       -3.363724       -3.364229    6.920076e-05
              20       -3.363665       -3.364201    7.126605e-05
              21       -3.363604       -3.364173    7.331894e-05
              22       -3.363543       -3.364144    7.536375e-05
              23       -3.363481       -3.364115    7.740437e-05
              24       -3.363418       -3.364086    7.944437e-05
              25       -3.363204       -3.364051    8.373814e-05
              26       -3.362989        -3.36401    8.993067e-05
              27       -3.362923        -3.36397    9.518297e-05
              28       -3.362856        -3.36393    9.975106e-05
              29       -3.362787        -3.36389    0.0001038014
              30       -3.362567       -3.363846    0.0001093191
              31       -3.362195       -3.363793    0.0001180542
              32       -3.361974       -3.363736    0.0001273205
              33         -3.3619       -3.363681    0.0001350692
              34       -3.361374       -3.363613    0.0001471554
              35       -3.360997       -3.363538    0.0001608114
              36        -3.36092       -3.363465    0.0001720075
              37        -3.36084       -3.363394    0.0001814063
              38       -3.360457       -3.363317    0.0001924005
              39       -3.360223       -3.363238    0.0002031641
              40       -3.359837       -3.363153    0.0002151369
              41       -3.359751        -3.36307    0.0002253196
              42       -3.359512       -3.362985    0.0002353406
              43        -3.35897       -3.362892    0.0002476985
              44       -3.358577       -3.362794    0.0002607592
              45       -3.358483       -3.362698    0.0002719914
              46       -3.357783       -3.362591    0.0002862982
              47       -3.357384        -3.36248    0.0003008807
              48       -3.357133       -3.362369    0.0003145618
              49       -3.356578       -3.362251    0.0003295975
              50       -3.356172       -3.362129    0.0003447009
              51       -3.355914       -3.362007    0.0003588377
              52       -3.355201       -3.361876    0.0003750504
              53       -3.354788       -3.361742    0.0003910945
              54       -3.354523       -3.361609    0.0004060619
              55       -3.354104       -3.361472    0.0004209781
              56       -3.353231       -3.361325    0.0004384294
              57       -3.352809       -3.361176    0.0004554811
              58       -3.352385       -3.361024    0.0004721712
              59       -3.351806       -3.360868    0.0004893356
              60       -3.351073       -3.360705     0.000507681
              61        -3.35064        -3.36054    0.0005254888
              62       -3.350355       -3.360375    0.0005420822
              63       -3.349614       -3.360205    0.0005597437
              64       -3.349021        -3.36003    0.0005776287
              65       -3.348577       -3.359854    0.0005950111
              66       -3.347978       -3.359674    0.0006125996
              67       -3.347527       -3.359492    0.0006297096
              68       -3.347074        -3.35931    0.0006463887
              69        -3.34692        -3.35913     0.000661493
              70       -3.346762       -3.358954    0.0006752272
              71       -3.346301       -3.358775    0.0006888301
              72        -3.34614         -3.3586    0.0007012618
              73       -3.345372       -3.358419    0.0007146843
              74       -3.344903       -3.358236    0.0007279901
              75       -3.344432       -3.358052    0.0007411866
              76       -3.344108       -3.357868    0.0007538001
              77        -3.34333        -3.35768    0.0007672943
              78         -3.3427       -3.357488    0.0007811203
              79       -3.341918       -3.357291    0.0007957084
              80       -3.341585       -3.357094    0.0008096177
              81       -3.340797       -3.356893    0.0008242434
              82       -3.340309       -3.356691    0.0008386358
              83       -3.339669       -3.356486    0.0008532396
              84        -3.33933       -3.356281    0.0008671815
              85       -3.338989       -3.356078    0.0008805204
              86       -3.338646       -3.355875    0.0008933088
              87       -3.337999        -3.35567    0.0009063642
              88       -3.337804       -3.355467    0.0009185203
              89       -3.337459       -3.355264    0.0009302189
              90       -3.336962       -3.355061    0.0009418501
              91       -3.336765        -3.35486    0.0009527174
              92       -3.336568       -3.354661    0.0009628846
              93       -3.336674       -3.354468    0.0009717616
              94       -3.336932       -3.354281    0.0009791656
              95       -3.336436       -3.354093    0.0009867123
              96       -3.336242       -3.353907    0.0009938016
              97       -3.335898       -3.353722     0.001000748
              98       -3.335859        -3.35354     0.001006999
              99       -3.335519       -3.353358     0.001013145
             100       -3.335181       -3.353176     0.001019188
             101       -3.334997       -3.352996     0.001024866
             102       -3.335118       -3.352821     0.001029697
             103       -3.334487       -3.352643     0.001034971
             104       -3.334463       -3.352468     0.001039676
             105       -3.333991       -3.352292      0.00104456
             106       -3.333674       -3.352116     0.001049369
             107       -3.333663       -3.351944     0.001053638
             108       -3.333204        -3.35177     0.001058074
             109       -3.332901       -3.351597     0.001062433
             110       -3.333058       -3.351428     0.001066059
             111       -3.333221       -3.351264        0.001069
             112       -3.333239       -3.351103     0.001071503
             113       -3.333414       -3.350947     0.001073394
             114       -3.332992       -3.350789     0.001075472
             115       -3.332879       -3.350634     0.001077338
             116       -3.333075       -3.350482     0.001078632
             117       -3.332524       -3.350329     0.001080279
             118       -3.332736        -3.35018     0.001081364
             119       -3.332804       -3.350034      0.00108209
             120       -3.332729        -3.34989     0.001082639
             121       -3.332662       -3.349747     0.001083013
             122       -3.332452       -3.349605     0.001083374
             123       -3.332402       -3.349466     0.001083557
             124       -3.332209       -3.349326     0.001083718
             125       -3.332327        -3.34919     0.001083548
             126       -3.332604       -3.349059     0.001082914
             127        -3.33274        -3.34893     0.001081984
             128       -3.333035       -3.348806     0.001080634
             129       -3.332733       -3.348681     0.001079416
             130       -3.333196       -3.348562     0.001077665
             131       -3.333364       -3.348446     0.001075665
             132        -3.33339       -3.348332     0.001073547
             133       -3.333122       -3.348218     0.001071549
             134       -3.333012       -3.348104     0.001069544
             135       -3.333212       -3.347994     0.001067295
             136        -3.33342       -3.347887     0.001064814
             137       -3.333636       -3.347783      0.00106211
             138       -3.333558        -3.34768     0.001059404
             139       -3.333941       -3.347581     0.001056383
             140       -3.333878       -3.347483     0.001053362
             141       -3.334124       -3.347388     0.001050144
             142       -3.334376       -3.347297     0.001046739
             143       -3.334636       -3.347208     0.001043157
             144       -3.334903       -3.347123     0.001039407
             145       -3.334875       -3.347038     0.001035665
             146       -3.334853       -3.346955     0.001031929
             147       -3.334838       -3.346872     0.001028196
             148       -3.334829       -3.346791     0.001024464
             149       -3.334978       -3.346712     0.001020651
             150       -3.335587       -3.346638     0.001016538
             151         -3.3359       -3.346566      0.00101229
             152       -3.336371       -3.346499      0.00100785
             153       -3.336545       -3.346434     0.001003361
             154        -3.33718       -3.346374    0.0009986435
             155       -3.337366       -3.346316    0.0009938902
             156       -3.337408       -3.346259    0.0009891582
             157       -3.337909       -3.346206    0.0009842865
             158       -3.338266       -3.346156    0.0009793388
             159       -3.338477       -3.346107    0.0009743695
             160       -3.338693       -3.346061    0.0009693809
             161       -3.339067       -3.346017    0.0009643327
             162       -3.339295       -3.345976    0.0009592723
             163       -3.339832       -3.345938    0.0009541276
             164       -3.340072       -3.345903    0.0009489801
             165       -3.340468        -3.34587    0.0009438002
             166       -3.340567       -3.345838    0.0009386551
             167       -3.340822       -3.345808    0.0009335148
             168        -3.34063       -3.345777    0.0009284667
             169       -3.340896       -3.345748    0.0009234219
             170       -3.341469       -3.345723     0.000918333
             171       -3.341744       -3.345699    0.0009132573
             172       -3.342477       -3.345681    0.0009081398
             173       -3.342912       -3.345665    0.0009030315
             174       -3.343047        -3.34565    0.0008979669
             175       -3.343488       -3.345637    0.0008929206
             176       -3.343782       -3.345627    0.0008879094
             177       -3.344077       -3.345618    0.0008829361
             178       -3.344376       -3.345611    0.0008780034
             179       -3.344828       -3.345607    0.0008731092
             180       -3.345585       -3.345607    0.0008682586
             181       -3.346191        -3.34561    0.0008634676
             182       -3.346495       -3.345615     0.000858737
