#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1       -5.525239       -5.525239               0
               2       -5.524806       -5.525022    0.0001531364
               3       -5.524374       -5.524806    0.0002039594
               4       -5.523942        -5.52459    0.0002416001
               5       -5.523512       -5.524375    0.0002730358
               6       -5.523083       -5.524159     0.000300656
               7       -5.522655       -5.523944    0.0003256047
               8       -5.522227        -5.52373    0.0003485351
               9       -5.521479        -5.52348    0.0003893437
              10       -5.520733       -5.523205    0.0004366612
              11       -5.519018       -5.522824    0.0005378801
              12       -5.517629       -5.522391    0.0006441546
              13       -5.516565       -5.521943    0.0007341311
              14       -5.514854       -5.521437    0.0008383211
              15       -5.512822       -5.520862    0.0009592124
              16       -5.511761       -5.520294     0.001054528
              17       -5.508761       -5.519615     0.001190863
              18       -5.506735         -5.5189      0.00132233
              19       -5.504063       -5.518119     0.001465279
              20       -5.501067       -5.517266     0.001621192
              21       -5.498398       -5.516368     0.001775604
              22       -5.495083         -5.5154     0.001940651
              23       -5.492094       -5.514387     0.002104264
              24       -5.490077       -5.513374     0.002247198
              25       -5.488381       -5.512374     0.002369263
              26       -5.486364       -5.511374     0.002480367
              27        -5.48338       -5.510337     0.002596168
              28         -5.4804       -5.509268     0.002714689
              29       -5.477746       -5.508181     0.002830335
              30        -5.47477       -5.507067     0.002946973
              31       -5.471474       -5.505919     0.003067435
              32        -5.47012         -5.5048     0.003169017
              33       -5.469092       -5.503718     0.003252482
              34        -5.46839       -5.502679     0.003318649
              35       -5.466074       -5.501633     0.003384624
              36       -5.465057       -5.500617     0.003439721
              37       -5.463397       -5.499611     0.003490758
              38       -5.462065       -5.498623      0.00353597
              39       -5.460413       -5.497644     0.003578463
              40       -5.459091        -5.49668     0.003616469
              41       -5.457774       -5.495731     0.003650635
              42       -5.457433       -5.494819     0.003675833
              43       -5.455479       -5.493904      0.00370245
              44        -5.45418       -5.493001     0.003726752
              45       -5.453211       -5.492117     0.003747363
              46        -5.45225        -5.49125     0.003764787
              47       -5.451296         -5.4904     0.003779443
              48       -5.449702       -5.489552     0.003794619
              49       -5.448118       -5.488707     0.003810231
              50       -5.447513       -5.487883     0.003822062
              51       -5.446916        -5.48708     0.003830598
              52        -5.44633       -5.486296     0.003836253
              53       -5.445431       -5.485525     0.003840575
              54       -5.442924       -5.484736     0.003849626
              55       -5.442371       -5.483966     0.003855924
              56       -5.440534        -5.48319     0.003864279
              57       -5.439033       -5.482416     0.003873358
              58       -5.438516       -5.481659     0.003879823
              59       -5.438335       -5.480924     0.003882929
              60       -5.437844       -5.480206     0.003884031
              61       -5.437691       -5.479509      0.00388239
              62       -5.437552       -5.478833     0.003878303
              63       -5.437105        -5.47817     0.003872888
              64       -5.436673       -5.477522     0.003866269
              65       -5.436581       -5.476892     0.003857751
              66       -5.435859        -5.47627     0.003849073
              67       -5.435477       -5.475661     0.003839478
              68       -5.435112       -5.475065     0.003829042
              69       -5.433794       -5.474467      0.00381998
              70       -5.433465       -5.473881     0.003810052
              71       -5.433154       -5.473308     0.003799324
              72       -5.432215       -5.472737      0.00378918
              73       -5.431619       -5.472174     0.003778906
              74       -5.431688       -5.471627     0.003767236
              75       -5.431777       -5.471095     0.003754289
              76       -5.431885       -5.470579     0.003740173
              77       -5.431365        -5.47007     0.003726111
              78       -5.431512       -5.469576     0.003710987
              79       -5.431355       -5.469092     0.003695415
              80       -5.431541       -5.468622     0.003678913
              81       -5.431422       -5.468163     0.003662049
              82       -5.431647       -5.467718     0.003644366
              83        -5.43189       -5.467286     0.003625932
              84       -5.431828       -5.466864     0.003607254
              85       -5.432434       -5.466459     0.003587486
              86       -5.432733       -5.466067      0.00356714
              87        -5.43305       -5.465687     0.003546269
              88       -5.433061       -5.465317     0.003525297
              89       -5.433412       -5.464958     0.003503866
              90       -5.433454       -5.464608     0.003482375
              91       -5.433835        -5.46427     0.003460488
              92        -5.43326       -5.463933      0.00343925
              93        -5.43367       -5.463607     0.003417628
              94       -5.434094       -5.463293     0.003395662
              95       -5.434529       -5.462991      0.00337339
              96       -5.434653       -5.462696     0.003351141
              97       -5.434788       -5.462408      0.00332892
              98       -5.435257       -5.462131      0.00330646
              99       -5.435412       -5.461861     0.003284057
             100       -5.435251       -5.461595      0.00326198
             101       -5.435422       -5.461336      0.00323996
             102       -5.435922       -5.461086     0.003217761
             103       -5.436428       -5.460847     0.003195414
             104        -5.43694       -5.460617     0.003172946
             105       -5.437132       -5.460394     0.003150601
             106        -5.43765       -5.460179     0.003128177
             107       -5.437845        -5.45997     0.003105897
             108       -5.438043       -5.459767     0.003083768
             109       -5.438564       -5.459573     0.003061605
             110       -5.439408       -5.459389     0.003039256
             111       -5.439927       -5.459214     0.003016928
             112       -5.440768       -5.459049     0.002994483
             113       -5.441607       -5.458895     0.002971959
             114       -5.441793       -5.458745     0.002949673
             115       -5.441976       -5.458599     0.002927626
             116         -5.4428       -5.458463     0.002905554
             117       -5.443294       -5.458333     0.002883611
             118       -5.443458       -5.458207     0.002861928
             119       -5.443615       -5.458085     0.002840504
             120       -5.444089       -5.457968     0.002819226
             121       -5.444554       -5.457857     0.002798106
             122       -5.444685       -5.457749     0.002777253
             123       -5.445132       -5.457647     0.002756567
             124       -5.445568       -5.457549     0.002736057
             125       -5.446318       -5.457459     0.002715644
             126       -5.446409       -5.457372     0.002695507
             127       -5.446813       -5.457288     0.002675564
             128       -5.447205        -5.45721     0.002655821
             129       -5.447586       -5.457135     0.002636281
             130       -5.448278       -5.457067     0.002616882
             131       -5.448311          -5.457     0.002597759
             132       -5.448331       -5.456934     0.002578909
             133       -5.448987       -5.456875     0.002560211
             134       -5.449629       -5.456821     0.002541676
             135       -5.449935        -5.45677      0.00252336
             136       -5.450227       -5.456722     0.002505265
             137       -5.450506       -5.456676     0.002487389
             138       -5.450449       -5.456631     0.002469774
             139       -5.451026       -5.456591     0.002452335
             140       -5.450943        -5.45655      0.00243515
             141       -5.450846        -5.45651     0.002418215
             142       -5.450737       -5.456469     0.002401527
             143       -5.450938       -5.456431     0.002385045
             144       -5.451125       -5.456394     0.002368767
             145       -5.451625       -5.456361     0.002352659
             146       -5.451787        -5.45633     0.002336753
             147       -5.451614       -5.456297     0.002321077
             148       -5.451428       -5.456265     0.002305627
             149        -5.45123       -5.456231     0.002290401
             150       -5.451021       -5.456196     0.002275395
             151       -5.451447       -5.456165     0.002260543
             152       -5.451539       -5.456134     0.002245876
             153       -5.451619       -5.456105     0.002231391
             154       -5.452011       -5.456078      0.00221706
             155       -5.453042       -5.456058     0.002202843
             156        -5.45309       -5.456039     0.002188804
             157       -5.453129       -5.456021     0.002174941
             158       -5.453157       -5.456003     0.002161251
             159       -5.453176       -5.455985     0.002147732
             160       -5.453186       -5.455967      0.00213438
             161       -5.452863       -5.455948      0.00212121
             162       -5.452209       -5.455925     0.002108242
             163       -5.451548       -5.455898     0.002095479
             164       -5.451526       -5.455872     0.002082871
             165       -5.450849       -5.455841      0.00207047
             166       -5.450812       -5.455811     0.002058219
             167       -5.450445       -5.455779     0.002046145
             168       -5.450395       -5.455747     0.002034216
             169       -5.450339       -5.455715     0.002022431
             170       -5.450601       -5.455685     0.002010758
             171       -5.450534       -5.455654     0.001999225
             172       -5.450787       -5.455626     0.001987802
             173       -5.450387       -5.455596     0.001976542
             174       -5.450306       -5.455565     0.001965417
             175       -5.450221       -5.455535     0.001954423
             176       -5.450133       -5.455504     0.001943559
             177       -5.450041       -5.455473     0.001932824
             178       -5.449623       -5.455441     0.001922245
             179       -5.449525       -5.455407      0.00191179
             180       -5.449425       -5.455374     0.001901458
             181       -5.449323       -5.455341     0.001891246
             182       -5.449219       -5.455307     0.001881154
             183       -5.449115       -5.455273     0.001871179
             184       -5.449008       -5.455239     0.001861319
             185       -5.449225       -5.455207     0.001851542
             186       -5.449441       -5.455176     0.001841847
             187       -5.449658       -5.455146     0.001832234
             188       -5.449549       -5.455117      0.00182273
             189        -5.44944       -5.455086     0.001813333
             190       -5.449331       -5.455056     0.001804042
             191       -5.449223       -5.455026     0.001794855
             192       -5.448792       -5.454993     0.001785801
             193       -5.448361       -5.454959     0.001776878
             194       -5.448256       -5.454924     0.001768055
             195       -5.448475       -5.454891     0.001759298
             196       -5.448049       -5.454856     0.001750668
             197       -5.447948       -5.454821     0.001742132
             198       -5.447848       -5.454786      0.00173369
             199       -5.447428       -5.454749     0.001725372
             200       -5.447333       -5.454712     0.001717144
             201       -5.446916       -5.454673     0.001709039
             202       -5.446825       -5.454634     0.001701019
             203       -5.446413       -5.454594     0.001693122
             204       -5.446003       -5.454552     0.001685346
             205       -5.445919        -5.45451     0.001677651
             206       -5.446161       -5.454469     0.001669997
             207       -5.446407        -5.45443     0.001662383
             208       -5.446332       -5.454391     0.001654847
             209       -5.446584       -5.454354      0.00164735
             210       -5.446515       -5.454316     0.001639929
             211       -5.447095       -5.454282     0.001632514
             212       -5.446709       -5.454247     0.001625204
             213       -5.446972       -5.454212     0.001617933
             214       -5.447239        -5.45418       0.0016107
             215       -5.447509       -5.454149     0.001603507
             216       -5.447458       -5.454118     0.001596383
             217       -5.447086       -5.454085     0.001589355
             218       -5.447365       -5.454055     0.001582364
             219       -5.447323       -5.454024     0.001575437
             220       -5.446961       -5.453992     0.001568603
             221        -5.44725       -5.453961     0.001561802
             222       -5.447217       -5.453931     0.001555062
             223       -5.446862       -5.453899     0.001548411
             224       -5.447159       -5.453869     0.001541791
             225       -5.447134       -5.453839     0.001535229
             226       -5.447112       -5.453809     0.001528725
             227       -5.446769       -5.453778     0.001522305
             228         -5.4474        -5.45375     0.001515885
             229       -5.447063       -5.453721     0.001509547
             230        -5.44705       -5.453692     0.001503262
             231       -5.447365       -5.453665     0.001497004
             232       -5.447681       -5.453639     0.001490774
             233        -5.44703       -5.453611     0.001484645
             234       -5.447351       -5.453584     0.001478542
             235        -5.44735       -5.453557     0.001472488
             236       -5.447675       -5.453532      0.00146646
             237       -5.447679       -5.453508      0.00146048
             238       -5.448007       -5.453485     0.001454526
             239       -5.448338       -5.453463       0.0014486
             240       -5.448995       -5.453444     0.001442684
             241        -5.44933       -5.453427     0.001436798
             242       -5.449342        -5.45341      0.00143096
             243       -5.449357       -5.453394     0.001425169
             244       -5.449698       -5.453379     0.001419409
             245       -5.449715       -5.453364     0.001413694
             246       -5.449733       -5.453349     0.001408024
             247       -5.450077       -5.453336     0.001402386
             248       -5.449775       -5.453321     0.001396805
             249       -5.450122       -5.453308     0.001391254
             250        -5.45047       -5.453297     0.001385735
             251       -5.450171       -5.453285     0.001380271
             252       -5.449874       -5.453271      0.00137486
             253       -5.449901       -5.453258      0.00136949
             254       -5.450576       -5.453247     0.001364139
             255       -5.451254       -5.453239     0.001358812
             256       -5.451284       -5.453232     0.001353525
             257       -5.451963       -5.453227     0.001348268
             258       -5.451995       -5.453222      0.00134305
             259       -5.451381       -5.453215     0.001337884
             260        -5.45109       -5.453207     0.001332763
             261       -5.451124       -5.453199      0.00132768
             262       -5.451484       -5.453192     0.001322629
             263       -5.451845       -5.453187      0.00131761
             264       -5.452206       -5.453183     0.001312624
             265       -5.452244        -5.45318     0.001307676
             266       -5.452605       -5.453178     0.001302761
             267       -5.452642       -5.453176     0.001297884
             268       -5.452679       -5.453174     0.001293042
             269       -5.452394       -5.453171     0.001288239
             270       -5.452108       -5.453167     0.001283473
             271        -5.45247       -5.453164      0.00127874
             272       -5.452509       -5.453162     0.001274041
             273       -5.452547        -5.45316     0.001269376
             274       -5.452261       -5.453157     0.001264748
             275       -5.452623       -5.453155      0.00126015
