#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
               1        0.887662        0.887662               0
               2        0.928008        0.907835      0.01426447
               3        0.949096       0.9215887      0.01471537
               4         0.94002       0.9261965       0.0117358
               5          0.8942       0.9197972      0.01099579
               6         0.86608       0.9108443      0.01227837
               7        0.950892       0.9165654      0.01178203
               8        0.733882         0.89373      0.02371826
               9        0.925906       0.8973051      0.02135064
              10        0.927212       0.9002958      0.01942391
              11        0.898962       0.9001745      0.01765848
              12         0.94973       0.9043042      0.01666282
              13         0.94356       0.9073238      0.01565229
              14         0.93993       0.9096529      0.01470652
              15        0.865642       0.9067188      0.01401572
              16        0.946792       0.9092234      0.01336164
              17        0.901214       0.9087522      0.01258397
              18         0.79194       0.9022627      0.01345454
              19        0.890516       0.9016444       0.0127606
              20        0.903908       0.9017576      0.01212307
              21        0.933342       0.9032616      0.01163871
              22        0.914918       0.9037915      0.01112173
              23        0.926656       0.9047856      0.01068251
              24        0.847782       0.9024104      0.01049813
              25         0.94979       0.9043056      0.01024784
              26        0.900408       0.9041557     0.009854792
              27         0.71589       0.8971829      0.01169938
              28        0.960348       0.8994388      0.01149698
              29         0.94566       0.9010326      0.01121047
              30         0.91207       0.9014005      0.01084282
              31        0.812516       0.8985333      0.01086554
              32        0.917208       0.8991169      0.01054166
              33        0.922582       0.8998279      0.01024617
              34        0.678704       0.8933243      0.01183016
              35        0.961202       0.8952637      0.01165003
              36        0.781556       0.8921051      0.01174679
              37        0.676688        0.886283        0.012791
              38          0.9444       0.8878124      0.01254549
              39         0.94429       0.8892606      0.01230711
              40        0.962866       0.8911007      0.01213622
              41        0.895976       0.8912196       0.0118408
              42        0.962234       0.8929104      0.01167897
              43        0.808036       0.8909366      0.01157296
              44          0.9197       0.8915903      0.01132838
              45        0.876048       0.8912449      0.01108191
              46         0.93848       0.8922718      0.01088847
              47        0.919658       0.8928545      0.01067238
              48        0.934814       0.8937286      0.01048577
              49         0.78399       0.8914891      0.01050822
              50        0.951338        0.892686      0.01036601
              51         0.94196       0.8936522      0.01020768
              52        0.729698       0.8904992      0.01048702
              53         0.94184       0.8914679       0.0103338
              54        0.895424       0.8915412      0.01014269
              55        0.801108       0.8898969      0.01009067
              56        0.786146       0.8880442      0.01007913
              57        0.914262       0.8885042     0.009912791
              58        0.924532       0.8891254     0.009761324
              59         0.93132       0.8898405      0.00962204
              60        0.925402       0.8904332     0.009479909
              61        0.627072       0.8861158      0.01026064
              62         0.89403       0.8862435      0.01009594
              63        0.692758       0.8831723      0.01039232
              64        0.899372       0.8834254      0.01023302
              65        0.888258       0.8834998      0.01007586
              66        0.814886       0.8824602     0.009976686
              67         0.96944       0.8837584     0.009911884
              68        0.955316       0.8848107     0.009821823
              69        0.747922       0.8828268     0.009877808
              70        0.953278       0.8838332     0.009787835
              71        0.967222       0.8850077     0.009720189
              72        0.839558       0.8843765     0.009605662
              73        0.866342       0.8841294     0.009477254
              74        0.837638       0.8835012     0.009369984
              75         0.91498       0.8839209     0.009254446
              76         0.89819       0.8841086     0.009134581
              77        0.955632       0.8850375     0.009063055
              78        0.831992       0.8843574     0.008972341
              79        0.867884       0.8841489      0.00886119
              80        0.831102       0.8834858       0.0087752
              81        0.853708       0.8831182     0.008674561
              82        0.800994       0.8821167     0.008626395
              83         0.84651       0.8816877     0.008533123
              84        0.937044       0.8823467     0.008456947
              85        0.874214        0.882251     0.008357994
              86        0.913506       0.8826144     0.008268706
              87        0.940392       0.8832786     0.008200289
              88        0.816822       0.8825234     0.008141804
              89        0.951548       0.8832989     0.008087177
              90        0.934788        0.883871      0.00801753
              91          0.8488       0.8834856     0.007938682
              92        0.952952       0.8842407     0.007888219
              93        0.943912       0.8848823     0.007829451
              94        0.953248       0.8856096     0.007779865
              95        0.959662       0.8863891     0.007736924
              96        0.938856       0.8869356      0.00767561
              97          0.8177       0.8862219     0.007629595
              98        0.857764       0.8859315     0.007557266
              99        0.901564       0.8860894      0.00748258
             100        0.855894       0.8857874     0.007413844
