#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
           1    0.935434    0.935434           0
           2     0.91454    0.924987  0.00738714
           3     0.82246    0.890811   0.0283356
           4    0.856356    0.882197   0.0225229
           5    0.834578    0.872674   0.0199305
           6    0.854366    0.869622   0.0168407
           7     0.86045    0.868312   0.0144858
           8    0.896448    0.871829    0.013095
           9    0.922398    0.877448   0.0127888
          10    0.903352    0.880038   0.0117693
          11    0.898222    0.881691   0.0108149
          12    0.928042    0.885554   0.0105809
          13    0.901274    0.886763  0.00983587
          14    0.938482    0.890457  0.00980253
          15    0.872618    0.889268  0.00922089
          16    0.942006    0.892564   0.0092149
          17    0.938772    0.895282  0.00906486
          18    0.836806    0.892034  0.00912484
          19    0.952824    0.895233  0.00918841
          20    0.910924    0.896018  0.00876242
          21    0.943668    0.898287  0.00863396
          22     0.89843    0.898293  0.00824151
          23    0.927398    0.899559  0.00797974
          24     0.95715    0.901958  0.00799992
          25     0.83253    0.899181  0.00814771
          26     0.70739    0.891805   0.0106629
          27    0.930764    0.893247   0.0103652
          28    0.930156    0.894566   0.0100785
          29    0.917094    0.895342  0.00976082
          30    0.916298    0.896041  0.00946042
          31    0.790018    0.892621  0.00975388
          32    0.911048    0.893197  0.00946606
          33    0.950612    0.894937  0.00933773
          34    0.868384    0.894156  0.00909569
          35    0.949254     0.89573  0.00897101
          36    0.939868    0.896956   0.0088052
          37    0.939798    0.898114  0.00864302
          38     0.89878    0.898131  0.00841559
          39    0.845626    0.896785  0.00830679
          40     0.87315    0.896194  0.00812011
          41    0.957422    0.897688  0.00805821
          42     0.87862    0.897234  0.00787913
          43    0.744856     0.89369  0.00845531
          44    0.917108    0.894222  0.00827988
          45    0.926824    0.894947  0.00812751
          46     0.84367    0.893832  0.00802691
          47    0.838112    0.892646  0.00794319
          48    0.956416    0.893975  0.00788802
          49    0.948148     0.89508  0.00780414
          50    0.836114    0.893901  0.00773665
          51    0.898954       0.894  0.00758558
          52    0.924778    0.894592  0.00746276
          53     0.90441    0.894777  0.00732426
          54    0.874122    0.894395   0.0071986
          55    0.832944    0.893278   0.0071539
          56    0.881636     0.89307  0.00702917
          57     0.92457    0.893622  0.00692754
          58    0.921382    0.894101  0.00682462
          59    0.926044    0.894642  0.00673039
          60    0.950218    0.895569  0.00668165
          61     0.82543    0.894419  0.00667031
          62     0.88229    0.894223  0.00656559
          63     0.89209    0.894189  0.00646146
          64    0.915614    0.894524  0.00636917
          65     0.90157    0.894632   0.0062721
          66    0.946498    0.895418  0.00622611
          67     0.74153    0.893121  0.00654314
          68     0.93816    0.893784  0.00648035
          69     0.93211    0.894339  0.00641019
          70    0.890566    0.894285  0.00631885
          71    0.957326    0.895173  0.00629192
          72    0.848378    0.894523  0.00623801
          73    0.918724    0.894855  0.00616136
          74    0.873526    0.894567  0.00608484
          75     0.91727    0.894869  0.00601123
          76    0.915068    0.895135  0.00593801
          77    0.924574    0.895517  0.00587319
          78       0.632    0.892139  0.00669947
          79     0.94499    0.892808  0.00664799
          80    0.871036    0.892536  0.00657046
          81    0.899324     0.89262  0.00648988
          82    0.891788    0.892609  0.00641074
          83    0.885568    0.892525  0.00633406
          84    0.887072     0.89246  0.00625899
          85    0.935572    0.892967  0.00620587
          86    0.903702    0.893092  0.00613497
          87     0.91296     0.89332   0.0060687
          88     0.86618    0.893012  0.00600757
          89     0.93242    0.893455  0.00595636
          90    0.951736    0.894102  0.00592528
          91    0.917608     0.89436  0.00586579
          92    0.975698    0.895244  0.00586828
          93    0.945534    0.895785  0.00583004
          94    0.909964    0.895936  0.00576997
          95    0.946468    0.896468   0.0057337
          96    0.862054     0.89611  0.00568517
          97     0.60731    0.893132  0.00635855
          98    0.858432    0.892778  0.00630352
          99    0.778556    0.891624  0.00634456
         100    0.926996    0.891978  0.00629097
