#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
           1    0.887884    0.887884           0
           2    0.928008    0.907946    0.014186
           3    0.949096    0.921663   0.0146585
           4     0.94002    0.926252   0.0116903
           5      0.8942    0.919842   0.0109699
           6     0.86608    0.910881   0.0122668
           7    0.950892    0.916597    0.011771
           8    0.733882    0.893758   0.0237174
           9    0.925906     0.89733   0.0213494
          10    0.927212    0.900318   0.0194225
          11    0.898962    0.900195   0.0176572
          12     0.94973    0.904323   0.0166613
          13     0.94356    0.907341   0.0156506
          14     0.93993    0.909669   0.0147048
          15    0.865642    0.906734   0.0140144
          16    0.946792    0.909237   0.0133602
          17    0.901214    0.908765   0.0125827
          18     0.79194    0.902275   0.0134538
          19    0.890516    0.901656   0.0127599
          20    0.903908    0.901769   0.0121224
          21    0.933342    0.903272    0.011638
          22    0.914918    0.903802   0.0111211
          23    0.926656    0.904795   0.0106818
          24    0.847782     0.90242   0.0104976
          25     0.94979    0.904314   0.0102473
          26    0.900408    0.904164  0.00985425
          27     0.71589    0.897191   0.0116991
          28    0.960348    0.899447   0.0114967
          29     0.94566     0.90104   0.0112102
          30     0.91207    0.901408   0.0108425
          31    0.812516     0.89854   0.0108653
          32    0.917208    0.899124   0.0105414
          33    0.922582    0.899835   0.0102459
          34    0.678704    0.893331   0.0118301
          35    0.961202     0.89527   0.0116499
          36    0.781556    0.892111   0.0117467
          37    0.676688    0.886289    0.012791
          38      0.9444    0.887818   0.0125455
          39     0.94429    0.889266   0.0123071
          40    0.962866    0.891106   0.0121362
          41    0.895976    0.891225   0.0118408
          42    0.962234    0.892916   0.0116789
          43    0.808036    0.890942   0.0115729
          44      0.9197    0.891595   0.0113283
          45    0.876048     0.89125   0.0110819
          46     0.93848    0.892277   0.0108884
          47    0.919658    0.892859   0.0106723
          48    0.934814    0.893733   0.0104857
          49     0.78399    0.891494   0.0105082
          50    0.951338     0.89269    0.010366
          51     0.94196    0.893657   0.0102076
          52    0.729698    0.890503    0.010487
          53     0.94184    0.891472   0.0103338
          54    0.895424    0.891545   0.0101427
          55    0.801108    0.889901   0.0100907
          56    0.786146    0.888048   0.0100791
          57    0.914262    0.888508  0.00991279
          58    0.924532    0.889129  0.00976131
          59     0.93132    0.889844  0.00962203
          60    0.925402    0.890437  0.00947989
          61    0.627072    0.886119   0.0102606
          62     0.89403    0.886247   0.0100959
          63    0.692758    0.883176   0.0103923
          64    0.899372    0.883429    0.010233
          65    0.888258    0.883503   0.0100759
          66    0.814886    0.882464  0.00997671
          67     0.96944    0.883762   0.0099119
          68    0.955316    0.884814  0.00982184
          69    0.747922     0.88283  0.00987783
          70    0.953278    0.883836  0.00978785
          71    0.967222    0.885011   0.0097202
          72    0.839558     0.88438  0.00960568
          73    0.866342    0.884132  0.00947727
          74    0.837638    0.883504     0.00937
          75     0.91498    0.883924  0.00925446
          76     0.89819    0.884112   0.0091346
          77    0.955632     0.88504  0.00906307
          78    0.831992     0.88436  0.00897236
          79    0.867884    0.884152   0.0088612
          80    0.831102    0.883489  0.00877522
