#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
           1     0.13593     0.13593           0
           2    0.142564    0.139247  0.00234547
           3      0.1259    0.134798  0.00395484
           4    0.151788    0.139046  0.00472534
           5    0.141024    0.139441  0.00379681
           6    0.148516    0.140954  0.00345213
           7    0.164768    0.144356  0.00432158
           8    0.123422    0.141739  0.00450446
           9    0.143836    0.141972  0.00400998
          10    0.128986    0.140673  0.00381346
          11     0.17043    0.143379  0.00432101
          12     0.14424     0.14345  0.00396152
          13    0.127836    0.142249  0.00383455
          14    0.148212    0.142675  0.00358423
          15    0.147284    0.142982  0.00335843
          16    0.165802    0.144409  0.00343805
          17    0.120572    0.143006  0.00351011
          18    0.163694    0.144156  0.00349821
          19      0.1578    0.144874    0.003387
          20    0.141682    0.144714   0.0032214
          21     0.15326    0.145121   0.0030936
          22    0.152118    0.145439  0.00296928
          23    0.143978    0.145376  0.00284086
          24    0.142448    0.145254  0.00272511
          25    0.139852    0.145038  0.00262466
          26    0.131118    0.144502  0.00257774
          27    0.157792    0.144995  0.00252882
          28    0.126642    0.144339  0.00252202
          29     0.12545    0.143688  0.00251776
          30    0.150076    0.143901  0.00244282
          31    0.149666    0.144087  0.00237109
          32    0.127146    0.143557  0.00235535
          33    0.134964    0.143297  0.00229833
          34    0.140302    0.143209  0.00223241
          35    0.163002    0.143774  0.00223912
          36    0.129518    0.143378  0.00221166
          37    0.162564    0.143897  0.00221184
          38     0.12283    0.143342  0.00222202
          39     0.16436    0.143881  0.00222944
          40     0.11952    0.143272  0.00225536
          41    0.156858    0.143604  0.00222456
          42    0.153088    0.143829  0.00218302
          43    0.127898    0.143459  0.00216347
          44     0.15205    0.143654  0.00212309
          45    0.141182    0.143599  0.00207662
          46    0.139652    0.143513  0.00203325
          47    0.133104    0.143292  0.00200202
          48    0.162454    0.143691  0.00199971
          49    0.132962    0.143472  0.00197085
          50     0.14533    0.143509  0.00193179
          51     0.13985    0.143438  0.00189524
          52    0.162426    0.143803  0.00189365
          53    0.163784     0.14418  0.00189507
          54    0.180218    0.144847    0.001974
          55    0.189096    0.145652  0.00209565
          56    0.142324    0.145592  0.00205907
          57     0.15703    0.145793   0.0020327
          58    0.162804    0.146086   0.0020187
          59    0.140642    0.145994  0.00198659
          60    0.169874    0.146392  0.00199295
          61    0.168232     0.14675  0.00199218
          62    0.163216    0.147016  0.00197767
          63    0.124376    0.146656  0.00197866
          64    0.141586    0.146577  0.00194933
          65    0.144374    0.146543  0.00191964
          66    0.135232    0.146372  0.00189818
          67    0.146046    0.146367  0.00186986
          68    0.170754    0.146725  0.00187644
          69     0.13151    0.146505  0.00186216
          70    0.140324    0.146417  0.00183765
          71    0.120988    0.146059  0.00184634
          72    0.132652    0.145872  0.00183006
          73     0.12765    0.145623  0.00182193
          74    0.163048    0.145858  0.00181247
          75    0.140122    0.145782  0.00178991
          76    0.137294     0.14567  0.00176984
          77    0.159424    0.145849  0.00175585
          78    0.149992    0.145902  0.00173414
          79    0.156572    0.146037  0.00171744
          80    0.175708    0.146408  0.00173556
          81     0.13091    0.146216  0.00172465
          82    0.148254    0.146241  0.00170379
          83      0.1483    0.146266  0.00168344
          84    0.161906    0.146452  0.00167367
          85    0.170298    0.146733  0.00167733
          86     0.13006    0.146539  0.00166899
          87    0.156622    0.146655  0.00165382
          88    0.162256    0.146832   0.0016445
          89     0.16472    0.147033  0.00163826
          90    0.139008    0.146944  0.00162249
          91    0.173064    0.147231  0.00162985
          92    0.136524    0.147115  0.00161628
          93    0.133838    0.146972  0.00160519
          94    0.117484    0.146658  0.00161848
          95    0.119046    0.146367  0.00162733
          96    0.165822     0.14657  0.00162295
          97    0.151526    0.146621  0.00160702
          98    0.176764    0.146929  0.00161979
          99    0.153136    0.146991  0.00160464
         100    0.137176    0.146893   0.0015916
