#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
               1            0.36            0.36               0
               2             0.4            0.38       0.0141421
               3             0.4        0.386667       0.0108866
               4            0.44             0.4       0.0141421
               5            0.36           0.392       0.0133866
               6            0.24        0.366667        0.025676
               7            0.32            0.36       0.0228571
               8            0.48           0.375        0.024431
               9            0.64        0.404444       0.0352456
              10             0.8           0.444       0.0491365
              11            0.84            0.48       0.0563343
              12            0.76        0.503333       0.0562649
              13            0.68        0.516923       0.0535529
              14             0.4        0.508571       0.0503747
              15             0.6        0.514667       0.0473837
              16            0.56          0.5175       0.0445068
              17             0.6        0.522353       0.0421525
              18             0.4        0.515556       0.0403551
              19           -0.04        0.486316       0.0476611
              20           -0.08           0.458       0.0530264
              21           -0.12        0.430476       0.0572003
              22           -0.44        0.390909       0.0668998
              23            -0.2        0.365217       0.0687476
              24           -0.12           0.345       0.0687917
              25           -0.24          0.3216       0.0699066
              26           -0.28        0.298462        0.070944
              27           -0.32        0.275556       0.0719193
              28            -0.6        0.244286       0.0758446
              29           -0.64        0.213793       0.0791218
              30           -0.52        0.189333       0.0801761
              31            -0.6        0.163871       0.0815328
              32           -0.48         0.14375       0.0814298
              33           -0.48        0.124848       0.0811263
              34           -0.44        0.108235       0.0804233
              35           -0.28       0.0971429       0.0788867
              36           -0.24       0.0877778       0.0772493
              37           -0.36       0.0756757       0.0761036
              38           -0.48       0.0610526       0.0754926
              39            -0.4       0.0492308       0.0744768
              40           -0.48           0.036       0.0737808
              41            -0.4       0.0253659       0.0727435
              42           -0.56       0.0114286       0.0723344
              43           -0.48     7.22936e-17       0.0715493
              44           -0.56      -0.0127273       0.0710462
              45           -0.24      -0.0177778       0.0696466
              46           -0.56      -0.0295652       0.0691229
              47           -0.52           -0.04       0.0684353
              48           -0.44      -0.0483333        0.067515
              49           -0.48      -0.0571429       0.0667094
              50           -0.28         -0.0616        0.065524
              51           -0.44      -0.0690196       0.0646579
              52           -0.48      -0.0769231       0.0638957
              53           -0.28      -0.0807547       0.0628049
              54            -0.6      -0.0903704       0.0623736
              55           -0.48      -0.0974545       0.0616405
              56            -0.6       -0.106429       0.0611895
              57           -0.68       -0.116491       0.0609378
              58           -0.48       -0.122759       0.0602086
              59           -0.28       -0.125424       0.0592471
              60           -0.12       -0.125333       0.0582597
              61           -0.16       -0.125902       0.0573074
              62           -0.04       -0.124516       0.0563998
              63               0        -0.12254       0.0555392
              64            -0.2        -0.12375       0.0546846
              65           -0.04       -0.122462       0.0538585
              66            0.16       -0.118182       0.0532122
              67            0.24       -0.112836       0.0526859
              68            0.28       -0.107059       0.0522268
              69            0.04       -0.104928       0.0515134
              70            0.16       -0.101143       0.0509163
              71            0.12      -0.0980282       0.0502944
              72            0.12          -0.095       0.0496869
              73             0.2      -0.0909589       0.0491703
              74            0.64      -0.0810811       0.0494881
              75            0.56      -0.0725333       0.0495609
              76            0.52      -0.0647368       0.0495183
              77             0.6      -0.0561039        0.049622
              78            0.56      -0.0482051       0.0496105
              79             0.6           -0.04       0.0496564
              80             0.6          -0.032       0.0496759
              81            0.52      -0.0251852       0.0495279
              82            0.48      -0.0190244       0.0493056
              83            0.44       -0.013494       0.0490207
              84             0.4     -0.00857143       0.0486837
              85             0.4     -0.00376471       0.0483476
              86             0.2     -0.00139535       0.0478435
              87             0.2      0.00091954       0.0473495
              88            0.24      0.00363636       0.0468893
              89            0.44      0.00853933       0.0466181
              90             0.6       0.0151111       0.0465611
              91            0.68       0.0224176       0.0466191
              92            0.84       0.0313043       0.0469518
              93            0.88       0.0404301       0.0473255
              94             0.8       0.0485106       0.0475069
              95            0.72       0.0555789       0.0475297
              96            0.76       0.0629167       0.0475977
              97             0.8       0.0705155       0.0477097
              98            0.88       0.0787755       0.0479325
              99            0.72       0.0852525        0.047884
             100            0.64          0.0908       0.0477254
             101            0.64       0.0962376       0.0475616
             102            0.76        0.102745       0.0475384
             103             0.8        0.109515       0.0475564
             104            0.76        0.115769       0.0475087
             105            0.68        0.121143       0.0473592
             106            0.72        0.126792       0.0472482
             107            0.72        0.132336       0.0471307
             108            0.56        0.136296       0.0468604
             109            0.56        0.140183       0.0465914
             110             0.6        0.144364        0.046355
             111             0.4        0.146667       0.0459946
             112            0.48        0.149643       0.0456801
             113            0.52         0.15292       0.0453933
             114            0.56        0.156491       0.0451353
             115            0.32        0.157913       0.0447652
             116            0.52        0.161034        0.044488
             117            0.52        0.164103       0.0442134
             118            0.56        0.167458       0.0439659
             119            0.52         0.17042       0.0436961
             120            0.56        0.173667       0.0434524
             121            0.32        0.174876       0.0431101
             122             0.4        0.176721       0.0427962
             123             0.2        0.176911       0.0424487
             124            0.32        0.178065       0.0421221
             125            0.44         0.18016       0.0418372
             126             0.6        0.183492       0.0416376
             127            0.64        0.187087       0.0414646
             128            0.84        0.192188       0.0414532
             129            0.72        0.196279       0.0413333
             130            0.76        0.200615       0.0412422
             131            0.48        0.202748       0.0409825
             132            0.44        0.204545       0.0407114
             133            0.28        0.205113       0.0404093
             134            0.12        0.204478       0.0401127
             135               0        0.202963       0.0398442
             136           -0.08        0.200882       0.0396055
             137               0        0.199416       0.0393435
             138            0.08        0.198551       0.0390679
             139            0.64        0.201727       0.0389157
             140            0.52           0.204       0.0387041
             141            0.44        0.205674       0.0384658
             142            0.56        0.208169       0.0382757
             143            0.44         0.20979       0.0380424
             144            0.44        0.211389       0.0378118
             145            0.56        0.213793       0.0376274
             146            0.56        0.216164       0.0374443
             147            0.48        0.217959       0.0372326
             148            0.44        0.219459       0.0370112
             149            0.56        0.221745       0.0368333
             150            0.52        0.223733       0.0366414
             151            0.48         0.22543        0.036438
             152            0.76        0.228947       0.0363676
             153            0.84        0.232941       0.0363486
             154            0.52        0.234805       0.0361603
             155             0.6        0.237161       0.0360037
             156             0.4        0.238205        0.035788
             157            0.28        0.238471        0.035561
             158            0.36        0.239241       0.0353443
             159            0.28        0.239497       0.0351229
             160            0.44         0.24075       0.0349258
             161            0.48        0.242236       0.0347404
             162            0.56        0.244198       0.0345813
             163            0.72        0.247117       0.0344921
             164            0.72            0.25       0.0344021
             165            0.72        0.252848       0.0343114
             166            0.68        0.255422        0.034201
             167            0.68        0.257964       0.0340906
             168            0.76        0.260952       0.0340184
             169             0.8        0.264142       0.0339663
             170            0.84        0.267529        0.033935
             171            0.96        0.271579       0.0339773
             172            0.88        0.275116       0.0339634
             173            0.76        0.277919       0.0338825
             174            0.68         0.28023       0.0337665
             175            0.76        0.282971       0.0336847
             176            0.84        0.286136       0.0336416
             177            0.92        0.289718       0.0336416
             178            0.76         0.29236       0.0335562
             179            0.52        0.293631       0.0333928
             180            0.48        0.294667       0.0332234
             181            0.52        0.295912       0.0330631
             182            0.56        0.297363       0.0329133
             183            0.36        0.297705       0.0327352
             184             0.4        0.298261        0.032562
             185            0.56        0.299676       0.0324167
             186            0.32        0.299785       0.0322426
             187            0.36        0.300107       0.0320718
             188             0.4        0.300638       0.0319056
             189            0.24        0.300317       0.0317384
             190            0.32        0.300421       0.0315716
             191            0.12        0.299476       0.0314204
             192            0.24        0.299167       0.0312583
             193            0.32        0.299275       0.0310965
             194            0.44             0.3       0.0309447
             195             0.6        0.301538       0.0308242
             196            0.72        0.303673       0.0307408
             197            0.76         0.30599       0.0306719
             198            0.72        0.308081       0.0305882
             199            0.36        0.308342       0.0304356
             200            0.36          0.3086       0.0302845
             201            0.64        0.310249       0.0301787
             202            0.64        0.311881       0.0300734
             203            0.44        0.312512       0.0299319
             204            0.52        0.313529       0.0298024
             205            0.36        0.313756       0.0296579
             206            0.44        0.314369       0.0295203
             207            0.44        0.314976       0.0293839
             208            0.28        0.314808       0.0292431
             209            0.32        0.314833       0.0291032
             210            0.36        0.315048       0.0289654
             211            0.32        0.315071       0.0288281
             212            0.32        0.315094       0.0286922
             213            0.36        0.315305       0.0285582
             214            0.28         0.31514       0.0284253
             215             0.4        0.315535       0.0282958
             216            0.12         0.31463       0.0281793
             217               0         0.31318       0.0280867
             218            0.08         0.31211       0.0279782
             219            0.12        0.311233       0.0278642
             220           -0.04        0.309636       0.0277832
             221           -0.16        0.307511       0.0277387
             222           -0.12        0.305586       0.0276805
             223           -0.24        0.303139       0.0276643
             224            -0.2        0.300893       0.0276318
             225           -0.48        0.297422       0.0277261
             226           -0.44        0.294159       0.0277948
             227           -0.52        0.290573       0.0279028
             228            -0.4        0.287544       0.0279443
             229           -0.36        0.284716        0.027965
             230           -0.44        0.281565       0.0280203
             231            -0.4        0.278615       0.0280539
             232            -0.4         0.27569       0.0280851
             233           -0.44        0.272618        0.028132
             234           -0.48        0.269402       0.0281951
             235           -0.24        0.267234       0.0281583
             236           -0.28        0.264915       0.0281343
             237           -0.36        0.262278       0.0281389
             238           -0.44        0.259328       0.0281749
             239            -0.4        0.256569       0.0281918
             240           -0.32        0.254167       0.0281765
             241           -0.32        0.251784       0.0281601
             242           -0.28        0.249587       0.0281293
             243           -0.28        0.247407       0.0280979
             244           -0.16        0.245738       0.0280323
             245           -0.28        0.243592       0.0279999
             246           -0.52        0.240488       0.0280576
             247            -0.6        0.237085       0.0281496
             248           -0.44        0.234355       0.0281682
             249           -0.52        0.231325       0.0282175
             250           -0.48         0.22848       0.0282477
             251           -0.52        0.225498       0.0282921
             252           -0.52         0.22254       0.0283341
             253           -0.48        0.219763       0.0283579
             254           -0.36         0.21748       0.0283379
             255           -0.04        0.216471       0.0282448
             256               0        0.215625       0.0281471
