#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
               1             0.2             0.2               0
               2             0.2             0.2               0
               3             0.2             0.2     1.52084e-09
               4            0.12            0.18       0.0173205
               5            0.04           0.152       0.0286217
               6            0.12        0.146667       0.0243432
               7            0.04        0.131429       0.0251873
               8            0.16           0.135       0.0222907
               9            0.16        0.137778       0.0199863
              10            0.24           0.148       0.0204353
              11             0.4        0.170909       0.0286747
              12            0.36        0.186667       0.0303071
              13             0.4        0.203077       0.0321127
              14             0.2        0.202857       0.0298197
              15            0.04           0.192       0.0297426
              16            0.16            0.19       0.0279508
              17             0.2        0.190588       0.0263129
              18            0.48        0.206667       0.0293552
              19            0.24        0.208421       0.0278626
              20            0.16           0.206       0.0265744
              21            0.16         0.20381       0.0253991
              22             0.2        0.203636       0.0242452
              23               0        0.194783       0.0247549
              24            0.16        0.193333       0.0237658
              25            0.16           0.192       0.0228526
              26            0.08        0.187692       0.0223759
              27            0.24         0.18963       0.0216309
              28             0.4        0.197143       0.0221247
              29            0.48        0.206897       0.0234133
              30            0.24           0.208       0.0226588
              31             0.4        0.214194       0.0227586
              32            0.24           0.215       0.0220617
              33            0.24        0.215758       0.0214062
              34            0.44        0.222353       0.0217689
              35            0.44        0.228571       0.0220172
              36            0.44        0.234444       0.0221751
              37            0.24        0.234595       0.0215763
              38            0.12        0.231579       0.0212182
              39            0.12        0.228718       0.0208661
              40            0.16           0.227       0.0204151
              41            0.16        0.225366       0.0199824
              42            0.16         0.22381       0.0195672
              43            0.12        0.221395       0.0192605
              44            0.32        0.223636       0.0189527
              45            0.28        0.224889       0.0185728
              46            0.24        0.225217        0.018172
              47            0.24        0.225532       0.0177881
              48            0.16        0.224167       0.0174698
              49             0.2        0.223673       0.0171202
              50             0.2          0.2232       0.0167844
              51            0.12        0.221176       0.0165768
              52            0.08        0.218462       0.0164788
              53            0.16        0.217358       0.0162048
              54            0.04        0.214074       0.0162341
              55            0.12        0.212364       0.0160288
              56            0.16        0.211429       0.0157698
              57             0.2        0.211228       0.0154945
              58            0.24        0.211724       0.0152352
              59            0.28        0.212881       0.0150209
              60            0.28           0.214       0.0148122
              61            0.24        0.214426       0.0145755
              62            0.48         0.21871       0.0149566
              63             0.4        0.221587       0.0149934
              64            0.28          0.2225       0.0147869
              65             0.2        0.222154       0.0145635
              66            0.08            0.22       0.0145012
              67               0        0.216716       0.0146518
              68             0.2        0.216471       0.0144384
              69            0.16        0.215652       0.0142523
              70            0.16        0.214857       0.0140709
              71            0.44        0.218028       0.0142255
              72            0.36            0.22       0.0141639
              73            0.48        0.223562       0.0144108
              74            0.64        0.229189       0.0152754
              75            0.52        0.233067        0.015556
              76            0.36        0.234737       0.0154407
              77            0.32        0.235844       0.0152799
              78            0.28         0.23641       0.0150945
              79            0.24        0.236456       0.0149035
              80            0.32          0.2375       0.0147537
              81            0.32        0.238519       0.0146067
              82            0.56        0.242439       0.0149454
              83             0.8        0.249157       0.0162049
              84            0.68        0.254286       0.0168041
              85            0.48        0.256941       0.0168149
              86            0.52            0.26       0.0168953
              87            0.52        0.262989       0.0169634
              88            0.48        0.265455       0.0169489
              89            0.28        0.265618       0.0167593
              90            0.28        0.265778       0.0165738
              91            0.28        0.265934       0.0163924
              92             0.4        0.267391       0.0162789
              93            0.28        0.267527       0.0161044
              94            0.36        0.268511       0.0159631
              95            0.44        0.270316       0.0158968
              96            0.56        0.273333        0.016015
              97            0.36        0.274227       0.0158748
              98             0.2        0.273469       0.0157309
              99            0.24        0.273131       0.0155756
             100            0.08          0.2712       0.0155392
             101             0.2        0.270495       0.0154013
             102            0.24        0.270196       0.0152532
             103            0.12        0.268738       0.0151747
             104            0.04        0.266538       0.0151873
             105            0.08        0.264762       0.0151462
             106            0.16        0.263774       0.0150355
             107             0.2        0.263178       0.0149068
             108            0.12        0.261852       0.0148276
             109            0.04        0.259817       0.0148306
             110           -0.12        0.256364       0.0150924
             111               0        0.254054       0.0151321
             112           -0.04        0.251429       0.0152231
             113           -0.12        0.248142       0.0154391
             114           -0.04        0.245614       0.0155092
             115            0.08        0.244174       0.0154411
             116             0.2        0.243793       0.0153127
             117            0.44         0.24547       0.0152733
             118            0.12        0.244407       0.0151809
             119            0.12        0.243361       0.0150893
             120            0.12        0.242333       0.0149985
             121           -0.08        0.239669       0.0151093
             122           -0.04        0.237377       0.0151583
             123           -0.04        0.235122       0.0152019
             124           -0.04        0.232903       0.0152403
             125           -0.12         0.23008       0.0153777
             126           -0.28        0.226032       0.0157795
             127           -0.08        0.223622       0.0158382
             128           -0.04        0.221562       0.0158478
             129            0.12        0.220775       0.0157445
             130           -0.08        0.218462       0.0157925
             131           -0.12        0.215878       0.0158819
             132           -0.16         0.21303       0.0160148
             133           -0.04        0.211128        0.016007
             134            0.12        0.210448        0.015902
             135             0.2         0.21037       0.0157844
             136            0.44        0.212059       0.0157583
             137            0.52        0.214307       0.0158028
             138            0.48        0.216232       0.0158051
             139             0.4        0.217554       0.0157466
             140            0.36        0.218571        0.015667
             141            0.44        0.220142       0.0156344
             142            0.36        0.221127       0.0155553
             143            0.28        0.221538        0.015452
             144            0.24        0.221667       0.0153452
             145             0.2        0.221517       0.0152401
             146           -0.08        0.219452        0.015275
