#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
           1    0.049884    0.049884           0
           2    0.047622    0.048753 0.000799738
           3    0.042338   0.0466147  0.00182553
           4    0.052082   0.0479815   0.0018099
           5    0.057994    0.049984  0.00230315
           6    0.049164   0.0498473  0.00192334
           7    0.052306   0.0501986  0.00168034
           8    0.048326   0.0499645  0.00148651
           9    0.048818   0.0498371  0.00132679
          10    0.050612   0.0499146  0.00119637
          11    0.054644   0.0503445   0.0011623
          12    0.049972   0.0503135  0.00106586
          13     0.05215   0.0504548 0.000993188
          14    0.045728   0.0501171  0.00097795
          15    0.049184   0.0500549  0.00091473
          16    0.051294   0.0501324 0.000860831
          17    0.050954   0.0501807  0.00081155
          18    0.052792   0.0503258 0.000779322
          19    0.054124   0.0505257 0.000763514
          20    0.043466   0.0501727 0.000802797
          21    0.046944    0.050019 0.000779152
          22    0.059926   0.0504693 0.000864126
          23    0.049478   0.0504262  0.00082763
          24    0.058714   0.0507715 0.000862184
          25     0.06438   0.0513158  0.00098465
          26    0.060606   0.0516732  0.00100953
          27    0.057212   0.0518783 0.000992765
          28    0.045046   0.0516343 0.000986841
          29    0.047314   0.0514853 0.000963991
          30     0.05492   0.0515998 0.000938632
          31    0.047664   0.0514728   0.0009169
          32    0.046734   0.0513248 0.000900127
          33     0.05613   0.0514704  0.00088455
          34    0.053654   0.0515346 0.000860862
          35      0.0498    0.051485 0.000837691
          36    0.047992    0.051388 0.000820022
          37    0.052254   0.0514114 0.000798193
          38    0.056242   0.0515385 0.000787246
          39    0.049918    0.051497 0.000768156
          40    0.049996   0.0514595 0.000749868
          41    0.050508   0.0514362 0.000731937
          42     0.05536   0.0515297 0.000720448
          43     0.05919   0.0517078 0.000725384
          44     0.05558   0.0517958 0.000714217
          45      0.0531   0.0518248 0.000698933
          46     0.04184   0.0516077 0.000716652
          47    0.045534   0.0514785  0.00071296
          48    0.052682   0.0515036 0.000698548
          49     0.05849   0.0516462 0.000698691
          50    0.047088    0.051555 0.000690639
          51    0.041402   0.0513559 0.000705206
          52    0.057454   0.0514732 0.000701327
          53     0.05997   0.0516335  0.00070618
          54    0.051596   0.0516328 0.000693103
          55    0.058024    0.051749 0.000690174
          56    0.063406   0.0519572 0.000708546
          57     0.05628    0.052033 0.000700162
          58     0.04569   0.0519237 0.000696579
          59    0.050864   0.0519057 0.000685004
          60    0.041446   0.0517314 0.000695416
          61    0.045448   0.0516284 0.000691602
          62    0.045644   0.0515318  0.00068715
          63    0.047132    0.051462 0.000679782
          64    0.047354   0.0513978 0.000672184
          65     0.05186   0.0514049 0.000661881
          66    0.053008   0.0514292 0.000652298
          67    0.040656   0.0512684 0.000662084
          68    0.046472   0.0511979 0.000656094
          69    0.051176   0.0511976 0.000646585
          70     0.04242   0.0510722 0.000649393
          71    0.057284   0.0511597 0.000646114
          72     0.05071   0.0511534  0.00063717
          73    0.048844   0.0511218 0.000629227
          74    0.049082   0.0510942 0.000621327
          75    0.052718   0.0511159  0.00061342
          76     0.05409    0.051155 0.000606595
          77     0.05263   0.0511742  0.00059902
          78    0.045378   0.0510998 0.000595932
          79    0.054376   0.0511413 0.000589829
          80    0.044426   0.0510574 0.000588399
          81    0.055352   0.0511104 0.000583519
          82    0.060246   0.0512218 0.000586942
          83    0.048596   0.0511902 0.000580722
          84     0.05007   0.0511768 0.000573962
          85    0.051798   0.0511841 0.000567256
          86    0.056962   0.0512513 0.000564625
          87    0.048262    0.051217 0.000559179
          88    0.063094   0.0513519  0.00056888
          89    0.050208   0.0513391 0.000562633
          90    0.047262   0.0512938 0.000558202
          91    0.056364   0.0513495 0.000554842
          92    0.056574   0.0514063  0.00055171
          93    0.049174   0.0513823 0.000546299
          94    0.046926   0.0513349 0.000542541
          95    0.051568   0.0513373 0.000536835
          96    0.042878   0.0512492 0.000538427
          97     0.05349   0.0512723 0.000533371
          98     0.04435   0.0512017 0.000532585
          99    0.051912   0.0512088 0.000527254
         100    0.054758   0.0512443 0.000523175
