#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
           1    0.030872    0.030872           0
           2    0.029522    0.030197 0.000477297
           3     0.02957    0.029988 0.000361069
           4    0.026304    0.029067 0.000842327
           5    0.022708   0.0277952  0.00132215
           6    0.018192   0.0261947  0.00182994
           7    0.025662   0.0261186   0.0015701
           8    0.033762    0.027074  0.00163896
           9    0.033848   0.0278267  0.00162049
          10    0.031046   0.0281486  0.00149007
          11    0.021422   0.0275371  0.00147476
          12    0.021454   0.0270302  0.00143635
          13      0.0341    0.027574   0.0014251
          14    0.031952   0.0278867  0.00135718
          15    0.021298   0.0274475  0.00133589
          16    0.036342   0.0280034  0.00136317
          17    0.027284   0.0279611  0.00128364
          18    0.027262   0.0279222  0.00121291
          19    0.024554   0.0277449  0.00116196
          20    0.023586    0.027537  0.00112231
          21    0.021636    0.027256  0.00110349
          22     0.01728   0.0268025  0.00114271
          23    0.030784   0.0269757  0.00110606
          24    0.028676   0.0270465  0.00106224
          25    0.025318   0.0269774    0.001022
          26    0.017714   0.0266211  0.00104294
          27    0.033834   0.0268882  0.00103797
          28    0.030276   0.0270092  0.00100792
          29      0.0243   0.0269158 0.000977487
          30    0.026356   0.0268971 0.000945082
          31    0.021224   0.0267141 0.000932146
          32     0.03474   0.0269649  0.00093615
          33    0.022608   0.0268329 0.000917045
          34     0.01914   0.0266066 0.000917562
          35    0.026244   0.0265963 0.000891404
          36    0.031504   0.0267326 0.000877005
          37    0.025614   0.0267024 0.000853823
          38     0.02255   0.0265931 0.000838318
          39    0.025678   0.0265696 0.000817151
          40     0.03372   0.0267484  0.00081604
          41    0.030324   0.0268356 0.000800783
          42     0.02126   0.0267029 0.000792644
          43     0.02759   0.0267235 0.000774479
          44    0.033926   0.0268872 0.000773983
          45    0.030086   0.0269583 0.000760041
          46     0.02628   0.0269435 0.000743661
          47     0.03011   0.0270109 0.000730884
          48    0.036184    0.027202  0.00074022
          49    0.028388   0.0272262 0.000725509
          50    0.022702   0.0271357 0.000716619
          51    0.030716   0.0272059 0.000705998
          52     0.01443   0.0269602 0.000733928
          53    0.030078   0.0270191 0.000722434
          54     0.02538   0.0269887 0.000709693
          55    0.021548   0.0268898  0.00070365
          56    0.024296   0.0268435 0.000692608
          57    0.022828    0.026773  0.00068403
          58    0.031598   0.0268562 0.000677276
          59    0.024978   0.0268244 0.000666544
          60    0.025308   0.0267991 0.000655914
          61     0.02621   0.0267894 0.000645233
          62    0.031172   0.0268601 0.000638686
          63    0.023712   0.0268102   0.0006305
          64    0.024304    0.026771 0.000621863
          65     0.02587   0.0267571  0.00061245
          66    0.019926   0.0266536 0.000611854
          67     0.02523   0.0266324 0.000603091
          68    0.032436   0.0267177  0.00060023
          69    0.019672   0.0266156 0.000600154
          70    0.016308   0.0264684 0.000609378
          71    0.020992   0.0263912 0.000605657
          72    0.029766   0.0264381 0.000599056
          73    0.024606    0.026413 0.000591375
          74    0.035038   0.0265296 0.000594758
          75    0.025372   0.0265141 0.000587028
          76    0.026354    0.026512 0.000579308
          77    0.025736   0.0265019 0.000571872
          78    0.024412   0.0264752 0.000565168
          79     0.03141   0.0265376 0.000561455
          80    0.031362   0.0265979 0.000557666
