#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
               1               1               1               0
               2               1               1               0
               3               1               1               0
               4               1               1               0
               5               1               1               0
               6               1               1               0
               7               1               1               0
               8               1               1               0
               9               1               1               0
              10               1               1               0
              11               1               1               0
              12               1               1               0
              13               1               1               0
              14               1               1               0
              15               1               1               0
              16               1               1               0
              17               1               1               0
              18               1               1               0
              19               1               1               0
              20               1               1               0
              21               1               1               0
              22               1               1               0
              23               1               1               0
              24               1               1               0
              25               1               1               0
              26               1               1               0
              27               1               1               0
              28               1               1               0
              29               1               1               0
              30               1               1               0
              31               1               1               0
              32               1               1               0
              33               1               1               0
              34               1               1               0
              35               1               1               0
              36               1               1               0
              37               1               1               0
              38               1               1               0
              39               1               1               0
              40               1               1               0
              41               1               1               0
              42               1               1               0
              43               1               1               0
              44               1               1               0
              45               1               1               0
              46               1               1               0
              47               1               1               0
              48               1               1               0
              49               1               1               0
              50               1               1               0
              51               1               1               0
              52               1               1               0
              53               1               1               0
              54               1               1               0
              55               1               1               0
              56               1               1               0
              57               1               1               0
              58               1               1               0
              59               1               1               0
              60               1               1               0
              61               1               1               0
              62               1               1               0
              63               1               1               0
              64               1               1               0
              65               1               1               0
              66               1               1               0
              67               1               1               0
              68               1               1               0
              69               1               1               0
              70               1               1               0
              71               1               1               0
              72               1               1               0
              73               1               1               0
              74               1               1               0
              75               1               1               0
              76               1               1               0
              77               1               1               0
              78               1               1               0
              79               1               1               0
              80               1               1               0
              81               1               1               0
              82               1               1               0
              83               1               1               0
              84               1               1               0
              85               1               1               0
              86               1               1               0
              87               1               1               0
              88               1               1               0
              89               1               1               0
              90               1               1               0
              91               1               1               0
              92               1               1               0
              93               1               1               0
              94               1               1               0
              95               1               1               0
              96               1               1               0
              97               1               1               0
              98               1               1               0
              99               1               1               0
             100               1               1               0
             101               1               1               0
             102               1               1               0
             103               1               1               0
             104               1               1               0
             105               1               1               0
             106               1               1               0
             107               1               1               0
             108               1               1               0
             109               1               1               0
             110               1               1               0
             111               1               1               0
             112               1               1               0
             113               1               1               0
             114               1               1               0
             115               1               1               0
             116               1               1               0
             117               1               1               0
             118               1               1               0
             119               1               1               0
             120               1               1               0
             121               1               1               0
             122               1               1               0
             123               1               1               0
             124               1               1               0
             125               1               1               0
             126               1               1               0
             127               1               1               0
             128               1               1               0
             129               1               1               0
             130               1               1               0
             131               1               1               0
             132               1               1               0
             133               1               1               0
             134               1               1               0
             135               1               1               0
             136               1               1               0
             137               1               1               0
             138               1               1               0
             139               1               1               0
             140               1               1               0
             141               1               1               0
             142               1               1               0
             143               1               1               0
             144               1               1               0
             145               1               1               0
             146               1               1               0
             147               1               1               0
             148               1               1               0
             149               1               1               0
             150               1               1               0
             151               1               1               0
             152               1               1               0
             153               1               1               0
             154               1               1               0
             155            0.96        0.999742     0.000257231
             156            0.96        0.999487     0.000360287
             157            0.96        0.999236      0.00043705
             158            0.96        0.998987     0.000499879
             159            0.92        0.998491     0.000701413
             160            0.88         0.99775      0.00101531
             161            0.88        0.997019      0.00124486
             162             0.8        0.995802       0.0017322
             163            0.76        0.994356      0.00224583
             164            0.76        0.992927      0.00264802
             165            0.72        0.991273      0.00310592
             166            0.68        0.989398      0.00360913
             167            0.64        0.987305      0.00414987
             168            0.64        0.985238      0.00461143
             169             0.6        0.982959      0.00511662
             170            0.64        0.980941       0.0054698
             171            0.64        0.978947       0.0057898
             172             0.6        0.976744      0.00616108
             173            0.68        0.975029      0.00635976
             174            0.64        0.973103      0.00660826
             175            0.68        0.971429      0.00677942
             176            0.56        0.969091      0.00713256
             177             0.6        0.967006       0.0073908
             178            0.72        0.965618      0.00747842
             179            0.72        0.964246      0.00756148
             180            0.72        0.962889      0.00764025
             181            0.72        0.961547      0.00771498
             182             0.6         0.95956      0.00792422
             183             0.6        0.957596      0.00812085
             184             0.6        0.955652      0.00830602
             185             0.6         0.95373      0.00848068
             186            0.56        0.951613      0.00869526
             187            0.56        0.949519      0.00889737
             188            0.48        0.947021      0.00919387
             189            0.56        0.944974       0.0093705
             190            0.64        0.943368      0.00945765
             191            0.64         0.94178      0.00954058
             192            0.56        0.939792      0.00969589
             193            0.52        0.937617      0.00988661
             194            0.48        0.935258       0.0101131
             195            0.44        0.932718       0.0103753
             196            0.36        0.929796       0.0107259
             197            0.36        0.926904       0.0110546
             198             0.4        0.924242       0.0113145
             199             0.4        0.921608       0.0115603
             200            0.44          0.9192       0.0117506
             201             0.4        0.916617       0.0119727
             202             0.4        0.914059       0.0121835
             203            0.36         0.91133       0.0124255
             204            0.44         0.90902       0.0125775
             205            0.44        0.906732       0.0127226
             206            0.44        0.904466        0.012861
             207            0.52        0.902609       0.0129322
             208            0.56        0.900962       0.0129745
             209            0.56         0.89933       0.0130146
             210            0.48        0.897333       0.0131049
             211             0.4        0.894976       0.0132531
             212            0.32        0.892264       0.0134652
             213            0.28         0.88939       0.0137054
             214            0.32        0.886729       0.0138972
             215            0.28        0.883907       0.0141162
             216            0.32        0.881296       0.0142902
             217            0.28        0.878525       0.0144905
             218            0.24        0.875596       0.0147171
             219            0.16        0.872329       0.0150083
             220            0.36            0.87       0.0151196
             221             0.4        0.867873       0.0152001
             222             0.4        0.865766        0.015277
             223            0.44        0.863857       0.0153273
             224            0.56          0.8625       0.0153188
             225            0.68        0.861689       0.0152722
             226            0.72        0.861062       0.0152175
             227            0.72        0.860441       0.0151631
             228            0.72        0.859825       0.0151091
             229            0.68        0.859039       0.0150635
             230            0.76        0.858609       0.0150042
             231            0.48         0.85697       0.0150285
             232            0.52        0.855517       0.0150337
             233            0.44        0.853734       0.0150746
             234            0.36        0.851624       0.0151571
             235            0.56        0.850383       0.0151434
             236            0.56        0.849153       0.0151291
             237            0.52        0.847764       0.0151289
