#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.4216189       0.4216189               0
               2       0.3865039       0.4040614      0.01241503
               3       0.3776763       0.3952663      0.01095773
               4         0.33673       0.3806323      0.01510489
               5       0.3846808        0.381442       0.0121056
               6       0.3585679       0.3776296      0.01067143
               7       0.3683813       0.3763084     0.009228359
               8       0.2879582       0.3652647       0.0131119
               9       0.3460858       0.3631337      0.01182692
              10        0.302208       0.3570411      0.01211227
              11       0.3430985       0.3557736      0.01107728
              12       0.3398625       0.3544477      0.01023322
              13       0.3393543       0.3532866     0.009511683
              14       0.3293422       0.3515763     0.008984729
              15       0.3345838       0.3504435     0.008456862
              16       0.3326853       0.3493336     0.008000808
              17       0.2996032       0.3464083     0.008047211
              18       0.3715977       0.3478077     0.007720864
              19        0.362232       0.3485669     0.007351732
              20       0.3069628       0.3464867     0.007272494
              21       0.3259231       0.3455074     0.006991798
              22         0.27308       0.3422153     0.007408628
              23       0.3415745       0.3421874     0.007086567
              24        0.348152        0.342436     0.006795649
              25       0.2920646       0.3404211     0.006815976
              26       0.3161397       0.3394872     0.006617493
              27        0.385534       0.3411926     0.006588496
              28       0.3110495       0.3401161     0.006440544
              29       0.3906445       0.3418585     0.006449832
              30       0.3511509       0.3421682     0.006242271
              31       0.3940028       0.3438403     0.006260849
              32        0.309888       0.3427793     0.006154445
              33       0.3315359       0.3424386      0.00597737
              34       0.3094778       0.3414691     0.005879653
              35       0.3105597        0.340586     0.005777605
              36       0.2742669       0.3387438     0.005903509
              37       0.2858874       0.3373153     0.005914273
              38       0.3069614       0.3365165     0.005812326
              39       0.3577518        0.337061     0.005688739
              40        0.283199       0.3357144     0.005703662
              41       0.3908197       0.3370585     0.005720713
              42         0.24024       0.3347532     0.006031097
              43       0.3087612       0.3341488     0.005921052
              44       0.3507194       0.3345254     0.005798448
              45       0.4091544       0.3361838     0.005901994
              46       0.3883174       0.3373171     0.005881498
              47       0.3226454        0.337005     0.005764638
              48       0.2909133       0.3360447     0.005723959
              49       0.3317197       0.3359565     0.005607824
              50        0.346946       0.3361763     0.005499973
              51       0.2621439       0.3347246     0.005580407
              52       0.3280568       0.3345964     0.005474564
              53        0.275761       0.3334863     0.005482666
              54       0.3062329       0.3329816     0.005404314
              55       0.3170808       0.3326925     0.005313781
              56       0.3169889       0.3324121     0.005226286
              57       0.2238998       0.3305084     0.005470345
              58       0.3614565        0.331042      0.00540199
              59       0.2824918       0.3302191      0.00537274
              60       0.2882445       0.3295195     0.005328545
              61       0.3299403       0.3295264     0.005241196
              62       0.3969393       0.3306137     0.005268236
              63       0.3580403        0.331049      0.00520257
              64        0.286252       0.3303491     0.005168151
              65        0.346501       0.3305976     0.005094611
              66       0.3699107       0.3311932     0.005052122
              67       0.3218908       0.3310544     0.004978624
              68       0.3706649       0.3316369     0.004939369
              69       0.3284511       0.3315907        0.004868
              70       0.3076989       0.3312494     0.004810407
              71        0.331225       0.3312491     0.004742655
              72       0.3159992       0.3310373     0.004681512
              73       0.3468927       0.3312545     0.004622417
              74       0.3231296       0.3311447     0.004561256
              75       0.3021946       0.3307587     0.004516743
              76       0.2941837       0.3302774     0.004482877
              77       0.3801059       0.3309245     0.004471121
              78       0.3266494       0.3308697     0.004414135
              79       0.3443904       0.3310409     0.004361576
              80       0.3205939       0.3309103     0.004309011
              81       0.3365947       0.3309805     0.004256385
              82        0.347928       0.3311872     0.004209493
              83       0.3048929       0.3308704      0.00417068
              84       0.3153957       0.3306861     0.004125095
              85       0.3124223       0.3304713     0.004082157
              86       0.2891226       0.3299905     0.004062906
              87       0.3585817       0.3303191     0.004029475
              88       0.3349783        0.330372     0.003984033
              89       0.3198717       0.3302541     0.003941015
              90       0.3447366        0.330415      0.00390051
              91       0.3240357       0.3303449     0.003858277
              92       0.2230747       0.3291789     0.003988631
              93        0.347171       0.3293724     0.003950432
              94        0.351343       0.3296061     0.003915314
              95       0.2850765       0.3291374     0.003902057
              96       0.2344394       0.3281509     0.003984146
              97       0.3413525        0.328287     0.003945396
              98       0.3005112       0.3280036     0.003915304
              99       0.3422628       0.3281476     0.003878404
             100        0.305022       0.3279164     0.003846508
