#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.3400228       0.3400228               0
               2       0.3261215       0.3330722     0.004914857
               3       0.3677958       0.3446467      0.01000247
               4       0.3506255       0.3461414     0.007612709
               5       0.3243735       0.3417878     0.007228631
               6       0.3394799       0.3414032     0.006034085
               7       0.3715807       0.3457143     0.006533044
               8       0.3112845       0.3414105     0.006991721
               9       0.3284714       0.3399729     0.006360957
              10       0.2849402       0.3344696      0.00774799
              11       0.2859133       0.3300554     0.008205276
              12       0.3280767       0.3298905     0.007523159
              13        0.340781       0.3307282     0.006990942
              14       0.3370102       0.3311769     0.006505973
              15       0.3007641       0.3291494     0.006380352
              16       0.2779161       0.3259473     0.006737344
              17       0.2653611       0.3223834     0.007222387
              18       0.3667553       0.3248485     0.007229601
              19        0.316665       0.3244178     0.006861914
              20       0.3688253       0.3266382     0.006868665
              21        0.317239       0.3261906     0.006556152
              22       0.3364753       0.3266581      0.00627479
              23       0.3436334       0.3273962     0.006045223
              24       0.2937789       0.3259954     0.005953406
              25       0.3851392       0.3283612     0.006167431
              26       0.3455682        0.329023     0.005965625
              27       0.3392589       0.3294021     0.005756709
              28       0.3612516       0.3305396     0.005662376
              29       0.3220781       0.3302478     0.005474634
              30       0.3322927        0.330316      0.00529257
              31       0.3685181       0.3315483     0.005263355
              32       0.3272008       0.3314124     0.005100629
              33       0.3346237       0.3315098     0.004946992
              34        0.306808       0.3307832     0.004854548
              35       0.3142109       0.3303097     0.004738882
              36       0.3359598       0.3304667     0.004609845
              37       0.3197209       0.3301763     0.004494394
              38       0.3193888       0.3298924     0.004385077
              39       0.3524749       0.3304714     0.004310699
              40       0.3360409       0.3306107      0.00420518
              41       0.2946166       0.3297328     0.004193252
              42       0.3429692       0.3300479     0.004105239
              43       0.2702745       0.3286578     0.004238587
              44        0.291328       0.3278094     0.004226312
              45       0.3659967        0.328658      0.00421673
              46       0.3162979       0.3283893     0.004133614
              47       0.3398809       0.3286338     0.004052889
              48       0.2614994       0.3272352     0.004202863
              49       0.3514558       0.3277295     0.004146055
              50       0.3049164       0.3272732     0.004088162
              51       0.3011569       0.3267611     0.004039947
              52        0.310946        0.326457     0.003973687
              53       0.3394405        0.326702     0.003906256
              54       0.3033723       0.3262699     0.003857735
              55       0.2968735       0.3257355     0.003824441
              56       0.3235327       0.3256961      0.00375635
              57       0.3372431       0.3258987     0.003695907
              58       0.3294197       0.3259594     0.003632683
              59       0.3657779       0.3266343     0.003633263
              60       0.3643394       0.3272627     0.003626648
              61       0.3114233       0.3270031     0.003576478
              62       0.3050962       0.3266497     0.003536204
              63       0.3306514       0.3267132     0.003480644
              64       0.2626009       0.3257115     0.003567504
              65       0.3175741       0.3255863     0.003514815
              66       0.2934644       0.3250996     0.003495094
              67       0.2713293       0.3242971     0.003533867
              68       0.3307563       0.3243921     0.003483175
              69       0.2937059       0.3239473     0.003460969
              70       0.3478067       0.3242882      0.00342827
              71        0.298574        0.323926     0.003399061
              72        0.273464       0.3232251     0.003423345
              73       0.3978126       0.3242469     0.003525632
              74       0.2953898       0.3238569     0.003499488
              75       0.3587027       0.3243215     0.003483534
              76       0.3160939       0.3242133     0.003439379
              77       0.3288379       0.3242733     0.003395236
              78       0.2877458        0.323805      0.00338385
              79       0.3742557       0.3244437     0.003400744
              80       0.3352939       0.3245793     0.003360938
              81       0.3137977       0.3244462      0.00332208
              82       0.3529841       0.3247942     0.003299746
              83       0.2646339       0.3240694     0.003338648
              84        0.296466       0.3237408     0.003315035
              85       0.3468989       0.3240132     0.003287211
              86       0.3317774       0.3241035     0.003250227
              87       0.2942415       0.3237603     0.003230942
              88       0.3693027       0.3242778     0.003235409
              89       0.2923959       0.3239196     0.003218827
              90       0.3570524       0.3242877     0.003204045
              91       0.3354567       0.3244104     0.003171186
              92       0.2920913       0.3240591     0.003156114
              93       0.3166413       0.3239794     0.003123185
              94       0.3749124       0.3245212      0.00313661
              95       0.3201108       0.3244748     0.003103936
              96       0.3451694       0.3246904      0.00307908
              97       0.3266072       0.3247101       0.0030474
              98       0.3154965       0.3246161     0.003017754
              99       0.3004832       0.3243723     0.002997101
             100        0.336348       0.3244921     0.002969522
