#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.4495361       0.4495361               0
               2       0.4399425       0.4447393     0.003391864
               3       0.4347957       0.4414247     0.003526658
               4       0.4703049       0.4486448     0.006789161
               5        0.411631        0.441242     0.008563883
               6       0.4261893       0.4387332     0.007495038
               7       0.4128977       0.4350424     0.007276525
               8       0.4085402       0.4317297      0.00708102
               9       0.4487547       0.4336213     0.006542038
              10       0.4189748       0.4321567     0.006049568
              11       0.4237746       0.4313947     0.005547391
              12       0.4017568       0.4289249     0.005608032
              13       0.4320435       0.4291648     0.005181774
              14        0.402833       0.4272839     0.005141674
              15        0.418023       0.4266665     0.004835821
              16       0.4130083       0.4258129      0.00460831
              17       0.4421911       0.4267763     0.004436798
              18       0.4092946       0.4258051     0.004295291
              19       0.4355218       0.4263165     0.004099555
              20       0.4280095       0.4264012     0.003895451
              21       0.4326658       0.4266995     0.003721358
              22       0.4368643       0.4271615     0.003580773
              23       0.4332457        0.427426     0.003434845
              24       0.4313601         0.42759     0.003295635
              25       0.4429761       0.4282054     0.003220763
              26       0.4198789       0.4278852     0.003112769
              27       0.3913449       0.4265318     0.003278505
              28       0.4183508       0.4262396     0.003174409
              29       0.4396596       0.4267024     0.003098493
              30       0.4213174       0.4265229     0.003000404
              31       0.4086721       0.4259471     0.002958357
              32       0.3921975       0.4248924     0.003048115
              33       0.4286753        0.425007     0.002957903
              34       0.4436603       0.4255556     0.002921341
              35        0.451448       0.4262954     0.002930046
              36        0.416837       0.4260327     0.002860412
              37       0.4306449       0.4261573     0.002785818
              38       0.4138159       0.4258326     0.002731373
              39       0.4079941       0.4253752     0.002699364
              40       0.4369213       0.4256638     0.002647268
              41       0.4212464       0.4255561     0.002584892
              42       0.4302085       0.4256669     0.002525719
              43       0.4284888       0.4257325     0.002467834
              44       0.4232881       0.4256769     0.002412372
              45        0.431247       0.4258007     0.002361937
              46       0.4231745       0.4257436     0.002311281
              47       0.4414272       0.4260773     0.002286066
              48       0.4504671       0.4265854     0.002294215
              49       0.4114813       0.4262772     0.002268007
              50       0.4277316       0.4263063     0.002222834
              51       0.4602932       0.4269727     0.002276954
              52        0.427427       0.4269814     0.002233183
              53       0.4287292       0.4270144     0.002191291
              54       0.4066956       0.4266381     0.002182779
              55       0.4441904       0.4269573     0.002166295
              56       0.4477632       0.4273288     0.002159237
              57       0.4072897       0.4269772     0.002149786
              58       0.4249623       0.4269425     0.002113001
              59       0.4467849       0.4272788     0.002103781
              60       0.4148578       0.4270718     0.002078879
              61       0.4438076       0.4273461     0.002062824
              62        0.455776       0.4278047     0.002079893
              63       0.4350836       0.4279202     0.002050085
              64       0.4623318       0.4284579     0.002087372
              65       0.4578491       0.4289101     0.002103663
              66       0.4350842       0.4290036     0.002073869
              67       0.4510679       0.4293329     0.002068897
              68       0.3992451       0.4288905      0.00208525
              69       0.4322138       0.4289386     0.002055585
              70       0.4326196       0.4289912     0.002026892
              71        0.408297       0.4286998     0.002019192
              72       0.4189587       0.4285645     0.001995675
              73       0.4089402       0.4282956     0.001986361
              74       0.4192785       0.4281738     0.001963252
              75       0.4383076       0.4283089     0.001941719
              76       0.4455469       0.4285357     0.001929372
              77       0.4353194       0.4286238     0.001906326
              78       0.4242414       0.4285676     0.001882714
              79       0.4254955       0.4285287     0.001859283
              80       0.4272963       0.4285133     0.001836106
              81       0.4729529        0.429062     0.001893632
              82       0.4262373       0.4290275     0.001870853
              83       0.4532892       0.4293198     0.001871009
              84       0.4062334        0.429045     0.001868812
              85       0.4610872        0.429422     0.001884462
              86       0.3906218       0.4289708     0.001915796
              87       0.4490946       0.4292021     0.001907688
              88       0.4493008       0.4294305     0.001899633
              89       0.4107592       0.4292207     0.001889837
              90       0.4259866       0.4291848     0.001869181
              91       0.4134534       0.4290119     0.001856617
              92       0.4161061       0.4288716     0.001841728
              93       0.4840789       0.4294653     0.001915206
              94       0.4001265       0.4291531     0.001920095
              95       0.4402031       0.4292695     0.001903403
              96       0.4288029       0.4292646     0.001883582
              97       0.4214421       0.4291839      0.00186589
              98       0.4539767       0.4294369     0.001863922
              99       0.4223691       0.4293655     0.001846461
             100       0.3909571       0.4289815     0.001867516
