#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.4217625       0.4217625               0
               2       0.4189329       0.4203477     0.001000393
               3        0.421326       0.4206738    0.0007181132
               4       0.4117821       0.4184509     0.001999028
               5       0.4113121       0.4170231     0.002046532
               6       0.4265853       0.4186168     0.002241669
               7       0.4100051       0.4173866     0.002233647
               8       0.4189427       0.4175811     0.001962893
               9       0.4224105       0.4181177     0.001816659
              10       0.4161166       0.4179176     0.001645977
              11       0.4082994       0.4170432     0.001712916
              12        0.414736       0.4168509     0.001580926
              13       0.4120446       0.4164812     0.001501925
              14       0.4184812       0.4166241     0.001401423
              15       0.4164798       0.4166145     0.001308028
              16       0.4032944        0.415782     0.001467479
              17       0.4240933       0.4162709     0.001460329
              18       0.4233979       0.4166668      0.00143187
              19       0.4142071       0.4165374     0.001362348
              20        0.406336       0.4160273     0.001386433
              21        0.426632       0.4165323     0.001409382
              22       0.4189386       0.4166416     0.001349557
              23       0.4343456       0.4174114     0.001494359
              24       0.4196105        0.417503       0.0014349
              25       0.4273233       0.4178958     0.001430261
              26       0.4262576       0.4182174     0.001410945
              27       0.4297079        0.418643     0.001421421
              28       0.4136386       0.4184643     0.001381847
              29       0.4064409       0.4180497     0.001395008
              30       0.4210162       0.4181486     0.001352008
              31       0.4248744       0.4183655     0.001325689
              32       0.4233245       0.4185205     0.001293287
              33       0.4041604       0.4180853     0.001325285
              34       0.4077233       0.4177806     0.001320883
              35       0.4141023       0.4176755     0.001287318
              36       0.4175881        0.417673     0.001251561
              37       0.4127915       0.4175411     0.001224669
              38       0.4169928       0.4175267     0.001192526
              39       0.4078735       0.4172792     0.001187358
              40       0.4337412       0.4176907     0.001226926
              41       0.4314048       0.4180252      0.00124176
              42       0.4168794       0.4179979     0.001212493
              43       0.4212277        0.418073      0.00118662
              44        0.415088       0.4180052     0.001161589
              45       0.4099265       0.4178257     0.001149565
              46       0.4072154        0.417595     0.001147482
              47        0.415853        0.417558     0.001123666
              48        0.430976       0.4178375     0.001134495
              49       0.4224351       0.4179313     0.001115216
              50       0.4136395       0.4178455      0.00109621
              51       0.4234048       0.4179545     0.001080122
              52       0.4055086       0.4177151     0.001085545
              53       0.4347866       0.4180372     0.001111823
              54       0.4197321       0.4180686     0.001091677
              55       0.4140827       0.4179962     0.001074231
              56       0.4222825       0.4180727     0.001057772
              57        0.411583       0.4179589     0.001045324
              58       0.4193764       0.4179833     0.001027586
              59       0.4214251       0.4180416     0.001011824
              60       0.4223519       0.4181135    0.0009975075
              61       0.4185014       0.4181198    0.0009811752
              62       0.4188666       0.4181319    0.0009654237
              63       0.4250806       0.4182422    0.0009563794
              64        0.418832       0.4182514    0.0009414804
              65       0.4142875       0.4181904     0.000928969
              66       0.4109321       0.4180804    0.0009213803
              67        0.404702       0.4178807    0.0009290131
              68        0.417539       0.4178757    0.0009153647
              69       0.4145717       0.4178278    0.0009033502
              70        0.427894       0.4179716    0.0009018183
              71       0.4340447        0.418198    0.0009170906
              72       0.4157958       0.4181647    0.0009049599
              73       0.4309276       0.4183395     0.000909295
              74       0.4316097       0.4185188    0.0009145193
              75        0.418359       0.4185167    0.0009023282
              76       0.4201918       0.4185387    0.0008907247
              77       0.4270927       0.4186498    0.0008860574
              78       0.4283496       0.4187742    0.0008833811
              79       0.4275278        0.418885     0.000879121
              80       0.4335502       0.4190683    0.0008870387
              81       0.4270422       0.4191667    0.0008815332
              82       0.4194654       0.4191704    0.0008707903
              83       0.4244807       0.4192344    0.0008626461
              84        0.419752       0.4192405    0.0008523985
              85       0.4231743       0.4192868    0.0008436256
              86       0.4203163       0.4192988     0.000833901
              87       0.4176906       0.4192803    0.0008245207
              88        0.432416       0.4194296    0.0008285527
              89       0.4245195       0.4194868    0.0008212145
              90       0.4219224       0.4195138    0.0008125357
              91       0.4159906       0.4194751    0.0008045286
              92       0.4248159       0.4195331    0.0007978755
              93       0.4277693       0.4196217    0.0007941958
              94       0.4192319       0.4196176    0.0007857578
              95       0.4111297       0.4195282    0.0007825498
              96         0.41631       0.4194947    0.0007751159
              97       0.4106068       0.4194031    0.0007725218
              98       0.4255491       0.4194658    0.0007671803
              99       0.4234668       0.4195062    0.0007604947
             100       0.4235555       0.4195467    0.0007539671
