#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.3711937       0.3711937               0
               2       0.3716171       0.3714054    0.0001496827
               3       0.3705677       0.3711262    0.0002488594
               4       0.3576727       0.3677628     0.002918733
               5       0.3642159       0.3670534     0.002419656
               6       0.3594721       0.3657899     0.002322986
               7       0.3656264       0.3657665     0.001991248
               8       0.3646144       0.3656225     0.001747542
               9       0.3733205       0.3664778     0.001750219
              10       0.3667811       0.3665082     0.001575459
              11       0.3754839       0.3673241     0.001629906
              12       0.3653561       0.3671601     0.001502309
              13       0.3761595       0.3678524     0.001537994
              14       0.3565856       0.3670476     0.001625107
              15       0.3759696       0.3676424     0.001621969
              16        0.374309       0.3680591     0.001573202
              17       0.3638952       0.3678142     0.001499607
              18       0.3670705       0.3677728     0.001416864
              19       0.3743412       0.3681185     0.001383824
              20       0.3712869        0.368277      0.00132367
