#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
               1       0.2013831       0.2013831               0
               2       0.2006877       0.2010354    0.0002458621
               3       0.1991495       0.2004068    0.0005388234
               4       0.1944226       0.1989108     0.001357175
               5       0.1964886       0.1984263     0.001169007
               6       0.1951576       0.1978815      0.00109377
               7       0.1968254       0.1977307    0.0009478664
               8       0.2009486       0.1981329    0.0009107443
               9        0.197356       0.1980466    0.0008136316
              10       0.1959565       0.1978376    0.0007586383
              11        0.192476       0.1973502    0.0008316385
              12       0.1972763        0.197344    0.0007623581
              13       0.1977832       0.1973778    0.0007044632
              14       0.1965031       0.1973153     0.000656909
              15       0.1947882       0.1971468    0.0006343506
              16       0.1986496       0.1972408    0.0006016165
              17       0.1977031       0.1972679    0.0005668417
              18       0.1951536       0.1971505     0.000547386
              19        0.193937       0.1969814    0.0005440788
              20       0.1980249       0.1970335    0.0005193706
