#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               1         66.1347         66.1347               0
               2        70.83154        68.48312        1.660584
               3        71.79551        69.58725        1.427694
               4        77.03788        71.44991        1.936148
               5        68.70426        70.90078        1.624926
               6         75.5116        71.66925        1.525032
               7        79.30494        72.76006        1.651843
               8        84.26596         74.1983        1.974597
               9        75.49056        74.34188         1.76041
              10        80.49602         74.9573        1.688516
              11        77.48356        75.18696        1.550554
              12        77.34966        75.36718        1.431777
              13         79.9501        75.71971         1.36435
              14        76.04913        75.74324          1.2671
              15         79.4433        75.98991        1.206398
              16        77.14751        76.06226        1.133165
              17        83.13806        76.47849        1.140391
              18        79.40703        76.64118         1.08858
              19        73.44974        76.47321        1.044165
              20        79.78753        76.63893         1.00502
              21        78.64334        76.73438       0.9616841
              22        86.71618         77.1881        1.019399
              23        74.22586         77.0593       0.9831796
              24        78.64202        77.12525       0.9444229
              25        82.96634        77.35889       0.9351004
              26        78.42678        77.39997       0.9000366
              27        75.69914        77.33697       0.8689036
              28        81.57617        77.48837       0.8509592
              29        71.88151        77.29503       0.8432935
              30         74.6666        77.20742       0.8197224
              31        70.96892        77.00618       0.8176091
              32        79.01936        77.06909       0.7944756
              33        78.96238        77.12646       0.7724693
              34        80.84402         77.2358       0.7574484
              35        77.58471        77.24577       0.7358726
              36        85.97278        77.48819       0.7543051
              37        86.13626        77.72192       0.7692792
              38        81.85438        77.83067       0.7566826
              39        78.63833        77.85138       0.7375638
              40        84.70563        78.02273        0.738762
              41         68.0783        77.78019       0.7595165
              42        88.40234        78.03309        0.782408
              43        82.08802        78.12739       0.7698744
              44        74.99469         78.0562       0.7556622
              45        70.41827        77.88646        0.757692
              46        72.04393        77.75945       0.7517905
              47        79.55051        77.79756       0.7367602
              48        83.56352        77.91768       0.7311382
              49        81.43173         77.9894       0.7197255
              50        80.57378        78.04109       0.7071846
              51        84.67015        78.17107       0.7051625
              52        79.02733        78.18754       0.6917939
              53        82.77953        78.27418       0.6841452
              54        82.79542         78.3579       0.6765798
              55        80.07474        78.38912        0.664998
              56        79.30949        78.40555       0.6533261
              57        87.58382        78.56658       0.6614098
              58        72.96305        78.46996       0.6570244
              59        84.68279        78.57527       0.6542725
              60        84.43889        78.67299       0.6506256
              61        79.69877        78.68981       0.6401769
              62        71.60997        78.57562       0.6399548
              63        71.72949        78.46695       0.6389565
              64         83.0414        78.53843        0.632958
              65        79.46858        78.55274       0.6233819
              66        76.80166         78.5262        0.614501
              67        77.55774        78.51175       0.6054994
              68        74.97982        78.45981       0.5988185
              69        79.69548        78.47772       0.5904077
              70        82.44615        78.53441       0.5846888
              71        77.29123         78.5169       0.5767159
              72        80.27106        78.54126       0.5692203
              73         75.0738        78.49376       0.5634011
              74        78.84391         78.4985       0.5558075
              75        82.53648        78.55234       0.5509982
              76        81.80192        78.59509       0.5454047
              77        72.33721        78.51382        0.544343
              78        84.20326        78.58676       0.5422293
              79        75.79384        78.55141       0.5365169
              80        80.42785        78.57487       0.5303229
              81         79.4609         78.5858       0.5238885
              82        73.39123        78.52246       0.5213156
              83        79.28378        78.53163       0.5151154
              84        83.36258        78.58914       0.5121835
              85        81.06901        78.61831        0.506988
              86        82.64504        78.66514       0.5032503
              87         79.0013          78.669       0.4974807
              88        78.36054         78.6655       0.4918398
              89        81.67652        78.69933       0.4874757
              90        78.15689         78.6933       0.4820966
              91        81.90226        78.72856       0.4780868
              92        88.72441        78.83721       0.4850791
              93        78.76322        78.83642       0.4798638
              94        78.73431        78.83533       0.4747601
              95        82.84429        78.87753       0.4716344
              96        89.98263        78.99321       0.4806985
              97        77.22562        78.97499       0.4760881
              98        78.33293        78.96844       0.4712751
              99        79.16328         78.9704       0.4665189
             100        81.37686        78.99447       0.4624739
