#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               1        78.43896        78.43896               0
               2        79.21613        78.82754       0.2747704
               3        75.15366        77.60292        1.016544
               4        75.84521        77.16349       0.8521082
               5        80.12141        77.75507       0.8629447
               6        77.04269        77.63634       0.7272427
               7        73.25526        77.01047       0.8510699
               8        81.06897        77.51779       0.8830358
               9        80.92527        77.89639       0.8622752
              10        83.21314        78.42807       0.9255591
              11        83.79271        78.91576       0.9613569
              12        78.98366        78.92142       0.8812604
              13        77.48771        78.81114        0.820343
              14        75.05801        78.54306       0.8043584
              15        83.92962        78.90216       0.8270195
              16        83.56397        79.19352       0.8250603
              17        84.80998         79.5239       0.8400744
              18        71.79338        79.09443       0.8964875
              19        80.32424        79.15916       0.8516374
              20        76.44598         79.0235        0.819789
              21        79.95865        79.06803       0.7819599
              22         78.3705        79.03632       0.7470588
              23        78.77848        79.02511       0.7146621
              24        83.21439        79.19967       0.7058797
              25        73.87771        78.98679        0.709018
              26         80.2853        79.03673       0.6835048
              27        79.48544        79.05335       0.6583918
              28        76.84704        78.97455       0.6395756
              29        77.25513        78.91526       0.6202634
              30        78.38418        78.89756       0.5998405
              31        72.36646        78.68688       0.6163798
              32        79.85096        78.72326       0.5981904
              33        77.38053        78.68257       0.5814456
              34        82.61398         78.7982       0.5757269
              35        83.29246         78.9266       0.5734185
              36        76.63513        78.86295       0.5610119
              37        80.78653        78.91494        0.548253
              38        81.40575        78.98049       0.5377294
              39        75.62592        78.89447       0.5307763
              40        78.28707        78.87929        0.517724
              41        82.36593        78.96433       0.5120332
              42        75.86353         78.8905       0.5051365
              43        85.74205        79.04984       0.5179103
              44         81.1987        79.09868       0.5084371
              45        75.46621        79.01796       0.5035055
              46         77.6847        78.98897       0.4933932
              47        79.53434        79.00057       0.4830319
              48        85.50386        79.13606       0.4916028
              49        75.10382        79.05377       0.4884089
              50        81.06911        79.09408       0.4803011
              51        84.26189        79.19541       0.4814536
              52        81.76138        79.24475       0.4747169
              53        78.44107        79.22959       0.4660021
              54        81.08831        79.26401       0.4586419
              55        81.81872        79.31046        0.452649
              56        77.96671        79.28646       0.4452015
              57        78.26717        79.26858       0.4377499
              58        80.70467        79.29334       0.4309022
              59        74.68127        79.21517       0.4306309
              60        79.73374        79.22381       0.4235405
              61        79.83783        79.23388       0.4167168
              62        80.45487        79.25357       0.4104606
              63        78.49402        79.24152       0.4041224
              64        85.01364        79.33171       0.4077478
              65        83.08886        79.38951       0.4055511
              66        83.41487         79.4505       0.4039665
              67        84.32287        79.52322       0.4044299
              68        80.38234        79.53585       0.3986796
              69        81.54267        79.56494       0.3939611
              70        79.46124        79.56346       0.3883359
              71        81.55067        79.59145       0.3838737
              72        84.78286        79.66355       0.3852541
              73        73.56073        79.57995       0.3889416
              74        82.32837        79.61709       0.3854549
              75        76.33568        79.57334       0.3827905
              76        77.40526        79.54481       0.3788153
              77        77.36138        79.51645       0.3749554
              78        83.41899        79.56649       0.3734714
              79        74.26462        79.49937       0.3747254
              80        77.08014        79.46913       0.3712595
              81        81.08616         79.4891       0.3672124
              82        77.58538        79.46588       0.3634674
              83         85.4411        79.53787       0.3661483
              84        81.57273         79.5621       0.3625899
              85        76.77867        79.52935       0.3597998
              86        79.82892        79.53283       0.3556329
              87        80.12876        79.53968       0.3516111
              88        76.75547        79.50804       0.3490361
              89         84.0947        79.55958       0.3488982
              90        75.77763        79.51756       0.3475429
              91        78.54555        79.50688       0.3438879
              92        82.83662        79.54307       0.3420492
              93        78.60531        79.53299       0.3385199
              94        73.83694        79.47239       0.3402989
              95         80.1701        79.47973        0.336796
              96        75.26217         79.4358       0.3361409
              97        77.22033        79.41296       0.3334506
              98        81.37426        79.43297       0.3306481
              99         83.4018        79.47306       0.3297295
             100        77.35144        79.45185       0.3271141
