#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.54838     7.54838           0
           2     7.02911     7.28875     0.18359
           3      7.7132     7.43023    0.168302
           4     6.94892     7.30991    0.163683
           5     7.34622     7.31717    0.131108
           6     7.55524     7.35685    0.115104
           7     7.19434     7.33363    0.100975
           8     7.64553     7.37262   0.0955837
           9     7.42422     7.37835   0.0851351
          10     6.80493     7.32101    0.093969
          11     7.39798     7.32801   0.0856864
          12      7.6657     7.35615   0.0830383
          13     6.77295     7.31129    0.087938
          14     7.91962     7.35474   0.0917665
          15     7.03162      7.3332   0.0881407
          16     7.35818     7.33476   0.0826457
          17      7.3933      7.3382   0.0778559
          18      7.1907     7.33001   0.0739606
          19     7.44359     7.33599   0.0703091
          20     6.58714     7.29854   0.0761133
