#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.34536     7.34536           0
           2      7.3432     7.34428 0.000763675
           3     7.52944       7.406   0.0503967
           4     7.96856     7.54664    0.127529
           5     7.51557     7.54043    0.102174
           6     7.54798     7.54169    0.085153
           7     7.24494     7.49929   0.0828711
           8     7.17001     7.45813   0.0821001
           9     7.49116      7.4618   0.0730598
          10     7.61211     7.47683   0.0672822
          11     7.29274      7.4601   0.0632128
          12      7.3996     7.45506   0.0581458
          13     7.23695     7.43828   0.0560413
          14     7.45423     7.43942   0.0520499
          15     8.00598     7.47719   0.0607581
          16     7.39078     7.47179   0.0572002
          17     7.28156      7.4606   0.0549191
          18     7.41926      7.4583    0.051916
          19     7.69362     7.47069   0.0506394
          20     7.59846     7.47708   0.0485087
