#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      4.3251      4.3251           0
           2     4.61939     4.47225    0.104047
           3     4.58271     4.50907   0.0756001
           4     4.41976     4.48674   0.0599064
           5     4.37329     4.46405   0.0520452
           6     4.42248     4.45712   0.0438299
           7      4.4475     4.45575     0.03759
           8     4.35695      4.4434   0.0348608
           9     4.36813     4.43503   0.0319749
          10     4.25156     4.41669    0.033632
          11     4.19504     4.39654   0.0361096
          12      4.3213     4.39027   0.0336404
          13     4.24715     4.37926   0.0328046
          14     4.28804     4.37274   0.0311017
          15     4.38722     4.37371   0.0290432
          16     4.54729     4.38456   0.0291839
          17     4.53736     4.39355   0.0288182
          18      4.5366     4.40149   0.0282919
          19     4.61303     4.41263   0.0289105
          20     4.19344     4.40167   0.0294691
