#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.55965     2.55965           0
           2     2.43402     2.49683   0.0444176
           3     2.52078     2.50481   0.0303205
           4     2.53971     2.51354   0.0239627
           5       2.512     2.51323   0.0191722
           6     2.60097     2.52785   0.0208192
           7     2.54901     2.53088    0.018063
           8     2.52899     2.53064   0.0158067
           9     2.44837      2.5215   0.0164832
          10     2.59057     2.52841   0.0162176
          11      2.4769     2.52372   0.0154043
          12     2.53522     2.52468   0.0141504
          13     2.49367      2.5223   0.0132615
          14     2.51802     2.52199   0.0123178
          15     2.51298     2.52139   0.0115112
          16     2.50369     2.52028   0.0108448
          17     2.51469     2.51995   0.0102119
          18      2.6162      2.5253   0.0109554
          19     2.58814     2.52861   0.0108665
          20     2.53277     2.52882   0.0103252
