#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1        -0.96084        -0.96084               0
               2       -0.965024       -0.962932     0.001479267
               3       -0.966568       -0.964144     0.001397084
               4       -0.972504       -0.966234     0.002091408
               5       -0.963168      -0.9656208     0.001760728
               6       -0.970872       -0.966496      0.00167069
               7       -0.973624      -0.9675143     0.001714484
               8       -0.978336       -0.968867     0.001962556
               9       -0.971404      -0.9691489     0.001764623
              10         -0.9768       -0.969914      0.00174617
              11       -0.971244      -0.9700349     0.001591608
              12       -0.971252      -0.9701363     0.001462202
              13       -0.973548      -0.9703988     0.001373074
              14       -0.971676        -0.97049     0.001278024
              15       -0.975032      -0.9707928      0.00122817
              16       -0.973264      -0.9709472      0.00116108
              17       -0.976996      -0.9713031     0.001146003
              18       -0.973384      -0.9714187     0.001088152
              19         -0.9694      -0.9713124     0.001036055
              20       -0.975816      -0.9715376     0.001008426
              21       -0.973284      -0.9716208    0.0009638284
              22         -0.9818      -0.9720835     0.001025079
              23       -0.970536      -0.9720162    0.0009827157
              24       -0.973268      -0.9720683    0.0009431524
              25       -0.978212      -0.9723141    0.0009368952
              26       -0.974292      -0.9723902     0.000903944
              27         -0.9697      -0.9722905    0.0008759384
              28       -0.975716      -0.9724129    0.0008531554
              29        -0.96776      -0.9722524    0.0008386869
              30       -0.969248      -0.9721523    0.0008166881
              31       -0.965816      -0.9719479    0.0008155198
              32       -0.974988      -0.9720429    0.0007955493
              33       -0.974128      -0.9721061    0.0007739469
              34       -0.975944      -0.9722189     0.000759371
              35       -0.973688      -0.9722609    0.0007388337
              36       -0.980588      -0.9724922    0.0007536493
              37       -0.979944      -0.9726936    0.0007597141
              38       -0.977904      -0.9728307    0.0007519933
              39       -0.972676      -0.9728268    0.0007327219
              40       -0.980072      -0.9730079    0.0007364516
              41       -0.963172       -0.972768    0.0007565549
              42       -0.983544      -0.9730246    0.0007808363
              43       -0.976508      -0.9731056    0.0007668681
              44       -0.970056      -0.9730363    0.0007525648
              45       -0.964832       -0.972854    0.0007576035
              46       -0.967212      -0.9727313    0.0007509965
              47       -0.975416      -0.9727884     0.000737187
              48        -0.97856      -0.9729087    0.0007315693
              49        -0.97504      -0.9729522    0.0007179313
              50       -0.974232      -0.9729778    0.0007040288
              51       -0.979984      -0.9731151    0.0007034999
              52       -0.974064      -0.9731334    0.0006902076
              53       -0.978532      -0.9732352    0.0006846599
              54        -0.97834      -0.9733298    0.0006784758
              55       -0.975936      -0.9733772    0.0006677925
              56       -0.974632      -0.9733996    0.0006562435
              57       -0.983444      -0.9735758    0.0006679711
              58       -0.967116      -0.9734644    0.0006656748
              59       -0.979416      -0.9735653    0.0006619912
              60        -0.97976      -0.9736685      0.00065896
              61       -0.974628      -0.9736843     0.000648345
              62       -0.965764      -0.9735565    0.0006503513
              63        -0.96728      -0.9734569    0.0006476142
              64       -0.977936      -0.9735269    0.0006412657
              65       -0.972824      -0.9735161    0.0006314913
              66       -0.971344      -0.9734832    0.0006227802
              67       -0.973272        -0.97348    0.0006134929
              68       -0.970188      -0.9734316    0.0006063781
              69        -0.97462      -0.9734488    0.0005978345
              70        -0.97716      -0.9735018    0.0005916402
              71       -0.973104      -0.9734962    0.0005833338
              72       -0.975352       -0.973522    0.0005758011
              73        -0.97058      -0.9734817     0.000569322
              74       -0.973012      -0.9734754    0.0005616639
              75       -0.977104      -0.9735237    0.0005562549
              76        -0.97704        -0.97357    0.0005508565
              77        -0.96748      -0.9734909    0.0005493511
              78       -0.978032      -0.9735491    0.0005453844
              79       -0.972012      -0.9735297    0.0005388277
              80        -0.97552      -0.9735545    0.0005326664
              81       -0.974048      -0.9735606    0.0005261252
              82       -0.968268      -0.9734961    0.0005236531
              83       -0.975368      -0.9735187    0.0005178295
              84       -0.978172       -0.973574    0.0005146195
              85       -0.976024      -0.9736029    0.0005093717
              86       -0.978404      -0.9736587    0.0005064988
              87       -0.973208      -0.9736535    0.0005007035
              88       -0.973856      -0.9736558     0.000495019
              89        -0.97596      -0.9736817    0.0004901335
              90       -0.973212      -0.9736765    0.0004847154
              91       -0.976828      -0.9737111    0.0004806244
              92       -0.984136      -0.9738244    0.0004885754
              93       -0.973664      -0.9738227    0.0004833249
              94       -0.973556      -0.9738199    0.0004781915
              95        -0.97776      -0.9738613    0.0004749531
              96       -0.984468      -0.9739718    0.0004826855
              97       -0.971708      -0.9739485    0.0004782733
              98       -0.975352      -0.9739628    0.0004736073
              99       -0.973436      -0.9739575    0.0004688533
             100         -0.9761      -0.9739789     0.000464654
