#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1       -0.973232       -0.973232               0
               2        -0.97418       -0.973706    0.0003351686
               3       -0.969212       -0.972208     0.001243355
               4       -0.970844       -0.971867    0.0009781599
               5       -0.975112       -0.972516    0.0009743258
               6       -0.973092       -0.972612    0.0008166539
               7        -0.96858       -0.972036    0.0008799796
               8        -0.97576      -0.9725015     0.000884577
               9       -0.975896      -0.9728787     0.000862961
              10       -0.978896      -0.9734804    0.0009638895
              11        -0.97844      -0.9739313    0.0009760343
              12        -0.97442       -0.973972    0.0008955474
              13       -0.972176      -0.9738338    0.0008372476
              14       -0.970556      -0.9735997    0.0008095194
              15       -0.979188      -0.9739723    0.0008368992
              16        -0.97886      -0.9742777    0.0008384949
              17       -0.980628      -0.9746513    0.0008684004
              18       -0.966632      -0.9742058    0.0009274231
              19       -0.975596      -0.9742789     0.000881493
              20       -0.970868      -0.9741084    0.0008537573
              21       -0.975212       -0.974161     0.000814718
              22       -0.973536      -0.9741325    0.0007781805
              23       -0.973032      -0.9740847    0.0007458162
              24       -0.977868      -0.9742423    0.0007312101
              25       -0.968004      -0.9739928    0.0007433213
              26       -0.974472      -0.9740112    0.0007149604
              27       -0.974412      -0.9740261    0.0006886345
              28       -0.971668      -0.9739419    0.0006691703
              29       -0.972744      -0.9739006     0.000647369
              30       -0.973552      -0.9738889    0.0006258943
              31       -0.968312       -0.973709    0.0006310292
              32       -0.974724      -0.9737407    0.0006121062
              33       -0.973688      -0.9737392    0.0005935596
              34         -0.9774      -0.9738468    0.0005857864
              35       -0.977964      -0.9739645    0.0005807408
              36       -0.972324      -0.9739189     0.000566394
              37        -0.97566      -0.9739659    0.0005530374
              38       -0.977004      -0.9740459    0.0005442319
              39        -0.96984      -0.9739381    0.0005408567
              40       -0.972792      -0.9739094    0.0005280936
              41       -0.978072      -0.9740109    0.0005248819
              42       -0.970956      -0.9739382       0.0005174
              43       -0.980792      -0.9740976    0.0005293495
              44         -0.9768       -0.974159    0.0005208697
              45        -0.97042      -0.9740759    0.0005158794
              46        -0.97348       -0.974063    0.0005048273
              47       -0.973616      -0.9740534    0.0004941758
              48       -0.980428      -0.9741862    0.0005014076
              49       -0.969968      -0.9741002    0.0004985102
              50       -0.976816      -0.9741545    0.0004914902
              51       -0.978088      -0.9742316    0.0004878673
              52       -0.976852       -0.974282    0.0004810807
              53       -0.972828      -0.9742546    0.0004727853
              54       -0.976568      -0.9742974     0.000465967
              55       -0.977448      -0.9743547    0.0004610025
              56        -0.97342       -0.974338    0.0004530723
              57       -0.973128      -0.9743168    0.0004456207
              58       -0.975376       -0.974335    0.0004383117
              59       -0.969612       -0.974255    0.0004381318
              60       -0.973824      -0.9742478    0.0004308885
              61        -0.97606      -0.9742775    0.0004248476
              62       -0.975848      -0.9743028    0.0004187497
              63       -0.974528      -0.9743064    0.0004121182
              64        -0.98034      -0.9744007    0.0004163222
              65       -0.977744      -0.9744521    0.0004130824
              66       -0.978852      -0.9745188    0.0004121678
              67       -0.979204      -0.9745887    0.0004119053
              68       -0.975136      -0.9745968    0.0004059265
              69       -0.977644      -0.9746409    0.0004024387
              70        -0.97408      -0.9746329    0.0003967694
              71       -0.977184      -0.9746688    0.0003928046
              72         -0.9802      -0.9747457    0.0003947896
              73       -0.967336      -0.9746442    0.0004022183
              74       -0.977532      -0.9746832    0.0003986716
              75       -0.971388      -0.9746393    0.0003957695
              76       -0.972484      -0.9746109    0.0003915767
              77       -0.972948      -0.9745893    0.0003870864
              78       -0.978084      -0.9746341     0.000384708
              79       -0.969964       -0.974575    0.0003843533
              80       -0.972484      -0.9745488    0.0003804366
              81        -0.97546      -0.9745601    0.0003759061
              82       -0.972088        -0.97453    0.0003725288
              83       -0.980592       -0.974603    0.0003751319
              84       -0.977488      -0.9746373    0.0003722349
              85       -0.972312        -0.97461    0.0003688596
              86       -0.974664      -0.9746106    0.0003645711
              87       -0.975844      -0.9746248    0.0003606562
              88        -0.97108      -0.9745845    0.0003588003
              89       -0.978636        -0.97463    0.0003576449
              90       -0.971272      -0.9745927     0.000355612
              91       -0.972856      -0.9745736     0.000352216
              92       -0.978296      -0.9746141    0.0003507038
              93        -0.97456      -0.9746135    0.0003469332
              94       -0.968504      -0.9745485    0.0003492775
              95       -0.975076      -0.9745541     0.000345645
              96       -0.971324      -0.9745204    0.0003436783
              97       -0.972684      -0.9745015    0.0003406563
              98       -0.976708       -0.974524    0.0003379234
              99       -0.978004      -0.9745592    0.0003363334
             100       -0.972832      -0.9745419    0.0003334132
