#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583768   -0.583768           0
           2    -0.58098   -0.582374 0.000985707
           3   -0.584024   -0.582924 0.000795925
           4   -0.583148    -0.58298 0.000598911
           5   -0.583972   -0.583178 0.000510935
           6   -0.582232   -0.583021 0.000449467
           7   -0.584196   -0.583189 0.000415437
           8   -0.582468   -0.583099 0.000373144
           9   -0.581812   -0.582956 0.000358018
          10   -0.581756   -0.582836 0.000341722
          11   -0.583796   -0.582923 0.000321616
          12    -0.58456   -0.583059 0.000322454
          13   -0.582632   -0.583026  0.00029932
          14   -0.578796   -0.582724 0.000402541
          15   -0.580588   -0.582582 0.000400106
          16    -0.58426   -0.582687 0.000388603
          17   -0.582244   -0.582661 0.000366616
          18    -0.58338   -0.582701  0.00034842
          19   -0.582004   -0.582664 0.000332005
          20   -0.579632   -0.582512 0.000348301
