#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529504   -0.529504           0
           2   -0.526388   -0.527946  0.00110167
           3   -0.527912   -0.527935 0.000734507
           4   -0.530224   -0.528507 0.000741042
           5   -0.528652   -0.528536 0.000593401
           6   -0.526484   -0.528194 0.000584808
           7   -0.529716   -0.528411 0.000540173
           8   -0.528168   -0.528381 0.000473508
           9    -0.52558    -0.52807  0.00051308
          10   -0.527268    -0.52799 0.000467994
          11      -0.527     -0.5279  0.00043401
          12   -0.527808   -0.527892  0.00039791
          13     -0.5263    -0.52777 0.000385686
          14   -0.529116   -0.527866 0.000369934
          15   -0.527632    -0.52785   0.0003456
          16   -0.529436   -0.527949 0.000337914
          17    -0.52922   -0.528024   0.0003262
          18   -0.529812   -0.528123 0.000322848
          19   -0.530488   -0.528248 0.000328971
          20   -0.529516   -0.528311 0.000318575
