#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462052   -0.462052           0
           2   -0.459372   -0.460712 0.000947523
           3    -0.46204   -0.461155 0.000727776
           4   -0.462248   -0.461428  0.00059495
           5    -0.46326   -0.461794 0.000577873
           6   -0.462036   -0.461835 0.000482962
           7   -0.461864   -0.461839 0.000413985
           8    -0.46188   -0.461844 0.000362269
           9   -0.461924   -0.461853 0.000322126
          10   -0.461484   -0.461816 0.000292018
          11   -0.461008   -0.461743 0.000274554
          12   -0.464148   -0.461943 0.000316502
          13   -0.464572   -0.462145 0.000350865
          14   -0.460224   -0.462008 0.000351618
          15   -0.461676   -0.461986 0.000328872
          16   -0.462952   -0.462046 0.000313812
          17   -0.462224   -0.462057 0.000295527
          18   -0.461752    -0.46204 0.000279593
          19     -0.4628    -0.46208 0.000267725
          20   -0.461216   -0.462037 0.000257799
