#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462584   -0.462584           0
           2   -0.459856    -0.46122 0.000964494
           3   -0.461456   -0.461299 0.000646196
           4   -0.462216   -0.461528 0.000523763
           5   -0.463316   -0.461886 0.000527136
           6   -0.461752   -0.461863  0.00043975
           7   -0.463864   -0.462149 0.000460535
           8   -0.464112   -0.462395 0.000463744
           9   -0.462684   -0.462427 0.000413331
          10   -0.460528   -0.462237 0.000413312
          11    -0.46302   -0.462308 0.000381822
          12   -0.462428   -0.462318 0.000350134
          13   -0.462056   -0.462298  0.00032378
          14   -0.463236   -0.462365 0.000307509
          15   -0.461436   -0.462303 0.000293177
          16   -0.462568    -0.46232 0.000275321
          17   -0.462784   -0.462347 0.000260478
          18   -0.464024    -0.46244 0.000262143
          19   -0.461812   -0.462407 0.000250421
          20     -0.4619   -0.462382  0.00023918
