# DISTANCE:     AVE_GOFR:       ERROR:
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0     0.000990289
              14        0.226796       0.0126667
              15         1.15208        0.038379
              16         1.90275       0.0536943
              17         2.40104       0.0621149
              18         2.19064       0.0653102
              19         2.07767       0.0599803
              20         1.79477       0.0611558
              21         1.72499       0.0466395
              22         1.43032        0.039477
              23         1.26565       0.0354046
              24         1.10299       0.0324765
              25         1.05604       0.0335244
              26        0.940473       0.0363687
              27         1.16581       0.0290756
              28        0.901005       0.0250548
              29         1.05111       0.0261872
              30         1.14324        0.019941
              31         1.17863       0.0226603
              32         1.29343       0.0266793
              33         1.04614       0.0216104
              34        0.953413       0.0228745
              35         1.06251       0.0230335
              36         1.00255       0.0214605
              37         1.00223       0.0127415
              38         1.14901       0.0184461
              39         1.01102       0.0179631
              40         1.05258       0.0168161
              41         1.19374       0.0166017
              42         1.10375       0.0204177
              43         1.07058       0.0153858
              44         1.00418       0.0141714
              45        0.976928       0.0125372
              46        0.992661        0.019756
              47         1.01817       0.0161887
              48        0.899976       0.0130237
              49        0.988808       0.0158156
              50         1.11061       0.0186721
              51         1.06761       0.0190365
              52         1.08691       0.0158671
              53         1.05734       0.0165336
              54         1.02371       0.0180198
              55        0.961654       0.0161305
              56         0.87794       0.0152492
              57        0.873784       0.0125496
              58        0.875442       0.0158881
              59        0.947396       0.0123258
              60         0.97118       0.0126396
              61        0.901759       0.0100843
              62        0.999791       0.0107346
              63          1.0662       0.0119417
              64         1.10763       0.0147566
              65         1.00151       0.0106703
              66         1.00515       0.0106021
              67         1.08659      0.00923407
              68        0.987847       0.0142176
              69        0.974494       0.0128565
              70        0.986336       0.0111953
              71        0.967032       0.0126728
              72        0.929035       0.0122011
              73        0.941319       0.0128027
              74         1.04353      0.00942736
              75        0.943372      0.00824022
              76         1.03209       0.0118802
              77         1.00564      0.00847497
              78         1.03935      0.00969198
              79        0.963621      0.00869357
              80        0.900522      0.00996634
              81        0.917236      0.00874056
              82        0.971444      0.00693104
              83        0.943924      0.00901377
              84        0.900343      0.00971017
              85        0.927622      0.00910575
              86        0.916751       0.0115134
              87        0.934326       0.0103913
              88        0.958027      0.00965762
              89        0.964382      0.00843426
              90        0.915938      0.00923595
              91        0.973833      0.00803617
              92        0.967116      0.00719138
              93          0.9596      0.00919157
              94        0.976497      0.00727021
              95        0.972163      0.00889578
              96        0.964755      0.00817441
              97        0.930765       0.0058311
              98        0.938897      0.00648094
              99         1.00481      0.00512193
