# DISTANCE:     AVE_GOFR:       ERROR:
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0               0
              14               0               0
              15               0               0
              16               0               0
              17               0               0
              18               0               0
              19               0               0
              20               0               0
              21               0               0
              22               0               0
              23               0               0
              24               0               0
              25               0               0
              26               0               0
              27               0               0
              28               0               0
              29               0               0
              30               0               0
              31               0               0
              32               0               0
              33               0               0
              34               0     0.000219717
              35       0.0154602      0.00140305
              36        0.166525      0.00270997
              37        0.590573      0.00846535
              38         1.21717      0.00752912
              39          1.8132       0.0138849
              40         2.37807       0.0141295
              41         2.57335       0.0182283
              42         2.49722       0.0125502
              43         2.28004       0.0130864
              44         2.10494        0.013296
              45         1.98858       0.0137952
              46         1.85601       0.0114196
              47         1.54444       0.0109519
              48         1.47862       0.0126646
              49         1.26731       0.0114563
              50         1.09954      0.00995331
              51         1.07973      0.00896333
              52        0.945567       0.0093092
              53        0.866217      0.00968003
              54        0.799974      0.00642495
              55        0.779876      0.00668054
              56        0.726476      0.00605935
              57        0.700734      0.00506788
              58        0.703489      0.00573419
              59        0.683202      0.00658265
              60        0.645192      0.00564091
              61        0.658912      0.00521274
              62        0.658731      0.00466537
              63        0.721675      0.00530968
              64        0.696192      0.00800149
              65        0.731377      0.00857612
              66        0.757371      0.00756377
              67        0.818614      0.00497256
              68        0.861852      0.00531884
              69        0.867308      0.00511996
              70        0.898652      0.00605972
              71        0.889865      0.00650416
              72         0.94244      0.00661852
              73         1.03321      0.00652165
              74         1.04713      0.00501649
              75         1.05014      0.00658282
              76         1.10242      0.00712735
              77          1.1475      0.00532801
              78         1.14554      0.00565345
              79         1.17809       0.0065119
              80         1.21403      0.00645817
              81         1.20659      0.00505157
              82         1.20282        0.005746
              83         1.21381      0.00582474
              84         1.26057      0.00735827
              85         1.19477      0.00547818
              86         1.15297      0.00698769
              87         1.11873      0.00758443
              88         1.06004       0.0067401
              89         1.04154      0.00429114
              90          1.0019      0.00441092
              91         0.95365      0.00479011
              92        0.940069      0.00477477
              93        0.913151      0.00602022
              94        0.933214      0.00502823
              95         0.92464      0.00529832
              96        0.923921      0.00396096
              97        0.905463      0.00400502
              98        0.900768      0.00399381
              99        0.902258       0.0035065
