# DISTANCE:     AVE_GOFR:       ERROR:
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0               0
              14               0               0
              15               0               0
              16               0               0
              17               0               0
              18               0               0
              19               0               0
              20               0               0
              21               0               0
              22               0               0
              23               0               0
              24               0               0
              25               0               0
              26               0               0
              27               0               0
              28               0               0
              29               0               0
              30               0               0
              31               0               0
              32               0               0
              33               0               0
              34               0               0
              35               0               0
              36               0               0
              37               0               0
              38     0.000331382     6.57566e-05
              39      0.00419756     0.000503244
              40        0.046816      0.00172083
              41        0.300702      0.00285942
              42          1.0423      0.00643524
              43         2.32697       0.0131435
              44         3.73195       0.0113734
              45         4.56773       0.0152535
              46         4.70392       0.0158695
              47         4.32997       0.0111113
              48         3.71499       0.0170014
              49         2.65496       0.0107955
              50         1.86046      0.00809475
              51          1.1533      0.00605263
              52        0.676938      0.00493243
              53        0.395763      0.00425551
              54        0.192625      0.00277979
              55       0.0978965      0.00198093
              56       0.0491544      0.00171707
              57       0.0435473      0.00163608
              58       0.0595025      0.00155326
              59        0.124828      0.00294049
              60        0.201077      0.00304323
              61        0.333064      0.00251313
              62        0.457085      0.00263254
              63        0.651737       0.0044901
              64         0.77959      0.00475652
              65        0.911172      0.00464762
              66        0.912385      0.00755962
              67        0.883312       0.0063301
              68        0.788758      0.00417364
              69        0.616473      0.00445667
              70         0.46437      0.00275914
              71        0.331002      0.00242965
              72        0.263454       0.0036111
              73        0.211183      0.00341982
              74         0.26419      0.00393766
              75        0.453561      0.00388643
              76        0.793527      0.00644041
              77         1.24815      0.00574815
              78         1.74304      0.00538464
              79          2.2107      0.00572178
              80         2.55502       0.0104529
              81         2.69447      0.00631933
              82         2.47303       0.0113919
              83         2.09524      0.00965639
              84         1.68847        0.004822
              85          1.2047       0.0057157
              86        0.839561      0.00508929
              87        0.567532      0.00457932
              88          0.4714      0.00464301
              89        0.481925      0.00388109
              90        0.617214      0.00406139
              91        0.746421      0.00357048
              92        0.894256      0.00469477
              93         1.02021      0.00447164
              94         1.01258       0.0043074
              95        0.930768      0.00431572
              96        0.792552      0.00291226
              97        0.659471        0.003358
              98        0.610073      0.00401052
              99        0.591841      0.00403555
