# DISTANCE:     AVE_GOFR:       ERROR:
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13     0.000598682     9.89978e-05
              14        0.151544      0.00169986
              15         1.06919      0.00526662
              16         2.03943       0.0101692
              17         2.24478      0.00820996
              18         2.11076      0.00719538
              19         1.84663      0.00404206
              20         1.57494      0.00541541
              21         1.43198      0.00443082
              22         1.32846      0.00259789
              23         1.23462      0.00400129
              24         1.18782      0.00391466
              25         1.11345      0.00302813
              26         1.10452      0.00345996
              27         1.09718      0.00268906
              28           1.055      0.00247421
              29         1.07663      0.00310259
              30         1.04932      0.00220386
              31         1.06098      0.00197729
              32         1.02512      0.00285848
              33         1.05242      0.00225551
              34         1.04737      0.00160887
              35         1.02743      0.00271093
              36         1.03848      0.00185953
              37         1.02082      0.00223263
              38         1.02798      0.00198514
              39         1.01182      0.00226623
              40         1.02084      0.00219703
              41         1.01045       0.0014385
              42         1.01888      0.00172348
              43         1.01073      0.00182649
              44         1.01369      0.00174097
              45         1.01547      0.00139567
              46        0.997986      0.00166426
              47         1.00387      0.00145114
              48        0.999306      0.00148419
              49        0.997473      0.00164273
              50        0.993524      0.00137687
              51         1.00956      0.00133626
              52        0.992616      0.00114701
              53         1.00597        0.001423
              54        0.985341      0.00108598
              55        0.995603     0.000991378
              56         1.00195      0.00131884
              57        0.982223      0.00134231
              58        0.997541      0.00127901
              59        0.995434      0.00112577
              60        0.989014       0.0011634
              61        0.989624      0.00138516
              62        0.981544      0.00117026
              63        0.985903       0.0011245
              64        0.986019     0.000976799
              65        0.994065       0.0010072
              66        0.984462      0.00121821
              67        0.988787      0.00122456
              68        0.992779     0.000833397
              69        0.994494      0.00106068
              70        0.990092     0.000866479
              71        0.979075     0.000945717
              72        0.990942      0.00120275
              73         0.97972      0.00123006
              74        0.991809     0.000894579
              75         0.98869     0.000800963
              76        0.987633     0.000713754
              77        0.985055       0.0010592
              78        0.982252     0.000888819
              79        0.984355      0.00094266
              80        0.988435     0.000846731
              81        0.981559     0.000644808
              82        0.979719      0.00108421
              83        0.983878     0.000800906
              84         0.99038      0.00079819
              85        0.989777     0.000888447
              86        0.980549     0.000812361
              87        0.992568     0.000876309
              88        0.983009     0.000541191
              89        0.983896     0.000715383
              90        0.988542     0.000815927
              91        0.993188     0.000870051
              92        0.983892     0.000738336
              93        0.983143     0.000781858
              94        0.985433      0.00042869
              95        0.985867     0.000682363
              96        0.989706     0.000825021
              97        0.986905     0.000719353
              98        0.987866     0.000749534
              99        0.986462     0.000574493
