# DISTANCE:     AVE_GOFR:       ERROR:
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0               0
              14               0               0
              15               0               0
              16               0               0
              17               0               0
              18               0               0
              19               0               0
              20               0               0
              21               0               0
              22               0               0
              23               0               0
              24               0               0
              25               0               0
              26               0               0
              27               0               0
              28               0               0
              29               0               0
              30               0               0
              31               0               0
              32               0               0
              33               0     3.26225e-06
              34       0.0018341     8.71742e-05
              35        0.022086     0.000492313
              36        0.158455      0.00173069
              37        0.546446      0.00356632
              38         1.20395       0.0051478
              39         1.83846      0.00608951
              40         2.33238      0.00443369
              41         2.57601      0.00328065
              42         2.54937      0.00407876
              43         2.40138      0.00292286
              44         2.20405      0.00359262
              45         1.97033      0.00443235
              46         1.75825      0.00395309
              47         1.56088      0.00361849
              48         1.39737      0.00380997
              49         1.26376      0.00339727
              50         1.13242      0.00239712
              51         1.02129       0.0021235
              52        0.953171      0.00260918
              53        0.878058      0.00171425
              54        0.829411      0.00228064
              55        0.773763      0.00150378
              56        0.745813      0.00144166
              57        0.706677      0.00107841
              58        0.693505      0.00107959
              59        0.683572      0.00152542
              60        0.668811      0.00124522
              61        0.665724      0.00127941
              62         0.67554      0.00117929
              63        0.686172      0.00157484
              64        0.689816      0.00197291
              65        0.717892      0.00172524
              66        0.741562      0.00191759
              67        0.772639      0.00144119
              68        0.807776      0.00132675
              69        0.835896      0.00206213
              70        0.876492      0.00195153
              71        0.925929      0.00159276
              72        0.965959      0.00142448
              73            1.02      0.00131307
              74         1.05429       0.0017498
              75         1.09864      0.00139616
              76         1.13671       0.0012486
              77         1.17472      0.00180928
              78         1.18398      0.00116065
              79         1.21501      0.00152404
              80         1.21696      0.00117347
              81         1.22097      0.00110167
              82         1.21055      0.00141351
              83         1.20719      0.00160718
              84         1.18001      0.00207913
              85         1.15233      0.00156303
              86         1.13229      0.00158955
              87         1.10471      0.00195895
              88         1.06546      0.00162383
              89         1.04142      0.00133177
              90         1.01943      0.00134737
              91        0.991988       0.0015818
              92        0.967601      0.00146482
              93         0.95096      0.00147696
              94        0.928581      0.00114359
              95        0.912684      0.00117249
              96        0.906168      0.00102716
              97          0.8917      0.00111046
              98        0.883936     0.000943101
              99        0.885333     0.000963435
