 # DISTANCE:     AVE_GOFR:       ERROR:
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7               0               0
               8               0               0
               9               0               0
              10               0               0
              11               0               0
              12               0               0
              13               0               0
              14               0               0
              15               0               0
              16               0               0
              17               0               0
              18               0               0
              19               0               0
              20               0               0
              21               0               0
              22               0               0
              23               0               0
              24               0               0
              25               0               0
              26               0               0
              27               0               0
              28               0               0
              29               0               0
              30               0               0
              31               0               0
              32               0               0
              33               0               0
              34               0               0
              35               0               0
              36               0               0
              37               0               0
              38               0     1.49281e-05
              39      0.00251853     6.79812e-05
              40        0.044021     0.000642437
              41         0.28042       0.0014351
              42        0.984916      0.00319389
              43         2.21191      0.00364132
              44         3.64733      0.00480616
              45         4.63889      0.00387711
              46         4.89634      0.00507794
              47         4.50972      0.00665551
              48         3.67578      0.00507135
              49         2.70958       0.0028954
              50         1.83242      0.00225278
              51         1.13025      0.00263002
              52        0.642365      0.00223998
              53        0.344145      0.00189329
              54        0.169179      0.00128962
              55       0.0854047     0.000833639
              56       0.0445552     0.000694505
              57          0.0398     0.000626522
              58       0.0587849     0.000642402
              59         0.10787     0.000926626
              60        0.180589      0.00114611
              61        0.300336      0.00131566
              62        0.448897      0.00102173
              63        0.624815      0.00127986
              64        0.793168      0.00135386
              65         0.92514      0.00216802
              66        0.973268      0.00199395
              67        0.942716      0.00222678
              68         0.81657      0.00143355
              69        0.647704       0.0010571
              70        0.459923     0.000776257
              71        0.310611      0.00131417
              72        0.213446       0.0014706
              73        0.182895      0.00156547
              74        0.249214      0.00199218
              75        0.425756      0.00227827
              76        0.738941      0.00226556
              77         1.19718       0.0015998
              78         1.73135      0.00129724
              79         2.23875      0.00200543
              80         2.61141       0.0040189
              81         2.72943      0.00472291
              82         2.56647         0.00383
              83          2.1942      0.00255376
              84         1.69048      0.00115227
              85         1.19672      0.00135293
              86        0.793423      0.00217677
              87        0.533171      0.00206773
              88        0.424649      0.00206754
              89        0.458036        0.001594
              90        0.583654      0.00116036
              91        0.756193     0.000845511
              92        0.917354      0.00102284
              93         1.02588      0.00168538
              94         1.03111       0.0014477
              95        0.926035      0.00116715
              96        0.780115     0.000771216
              97        0.651393      0.00111218
              98        0.567832      0.00176282
              99        0.564243      0.00242648
