#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
               1             1.8             1.8               0
               2             1.8             1.8               0
               3             1.8             1.8               0
               4             1.8             1.8               0
               5             1.8             1.8     9.42432e-09
               6             1.8             1.8               0
               7             1.8             1.8     1.12642e-08
               8             1.8             1.8     1.05367e-08
               9             1.8             1.8               0
              10             1.8             1.8       6.664e-09
              11             1.8             1.8     6.35388e-09
              12             1.8             1.8               0
              13             1.8             1.8               0
              14             1.8             1.8     7.96501e-09
              15             1.8             1.8     5.44113e-09
              16             1.8             1.8     5.26836e-09
              17             1.8             1.8     5.11106e-09
              18             1.8             1.8     4.96705e-09
              19             1.8             1.8               0
              20             1.8             1.8               0
