#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1       -0.418492       -0.418492               0
               2       -0.415439       -0.416966      0.00107941
               3       -0.417126       -0.417019     0.000720929
               4       -0.411817       -0.415719      0.00124943
               5       -0.414746       -0.415524       0.0010146
               6       -0.408604       -0.414371      0.00135036
               7       -0.409811       -0.413719      0.00130514
               8       -0.413786       -0.413728      0.00114203
               9       -0.417664       -0.414165       0.0010957
              10       -0.412522       -0.414001     0.000998371
              11       -0.412673        -0.41388     0.000914877
              12       -0.418206       -0.414241     0.000906876
              13        -0.40912       -0.413847     0.000918687
              14       -0.417395         -0.4141     0.000887333
              15       -0.415025       -0.414162     0.000830317
              16       -0.412684       -0.414069     0.000783545
              17       -0.417999       -0.414301     0.000770794
              18       -0.413643       -0.414264     0.000728838
              19       -0.410261       -0.414053     0.000720283
              20       -0.416032       -0.414152     0.000691028
