#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1        -5.46613        -5.46613               0
               2        -5.49296        -5.47954      0.00948816
               3        -5.46968        -5.47626      0.00687179
               4        -5.48635        -5.47878      0.00559771
               5        -5.45943        -5.47491      0.00565997
               6        -5.48979        -5.47739      0.00523221
               7        -5.44199        -5.47233       0.0064831
               8        -5.48537        -5.47396      0.00587395
               9         -5.4686        -5.47337      0.00525139
              10        -5.47231        -5.47326      0.00472732
              11        -5.43095        -5.46941      0.00564978
              12        -5.50296        -5.47221      0.00582985
              13        -5.48929        -5.47352      0.00552742
              14         -5.4863        -5.47444      0.00520745
              15        -5.47511        -5.47448      0.00486048
              16        -5.45728        -5.47341      0.00467411
              17        -5.43591         -5.4712      0.00489189
              18        -5.44395        -5.46969      0.00484879
              19        -5.45398        -5.46886      0.00466352
              20        -5.45723        -5.46828      0.00446647
