#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1        -7.55723        -7.55723               0
               2        -7.54731        -7.55227      0.00350931
               3        -7.53449        -7.54634      0.00537403
               4        -7.56804        -7.55177      0.00618904
               5        -7.52435        -7.54628      0.00696907
               6         -7.5556        -7.54784      0.00597795
               7        -7.54118        -7.54689      0.00519912
               8        -7.55594        -7.54802      0.00467071
               9        -7.54335         -7.5475      0.00418046
              10        -7.54247          -7.547      0.00379256
              11        -7.57582        -7.54962      0.00425779
              12        -7.56222        -7.55067      0.00403046
              13        -7.56092        -7.55145       0.0037968
              14        -7.53779        -7.55048      0.00364897
              15        -7.53133         -7.5492      0.00362215
              16        -7.54181        -7.54874      0.00342508
              17        -7.53793         -7.5481      0.00328212
              18        -7.55308        -7.54838       0.0031114
              19        -7.54213        -7.54805      0.00296499
              20        -7.54517        -7.54791      0.00282025
