#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
               1       0.0598839       0.0598839               0
               2       0.0598854       0.0598846     5.44398e-07
               3       0.0598862       0.0598852     5.61643e-07
               4        0.059882       0.0598844     8.11953e-07
               5       0.0598897       0.0598854     1.14838e-06
               6       0.0598896       0.0598861     1.14675e-06
               7       0.0598897       0.0598866     1.09089e-06
               8       0.0598872       0.0598867     9.56461e-07
               9       0.0598836       0.0598864     9.08463e-07
              10         0.05989       0.0598867     8.87446e-07
              11        0.059888       0.0598868     8.13857e-07
              12       0.0598817       0.0598864     8.51168e-07
              13       0.0598931       0.0598869     9.27686e-07
              14        0.059883       0.0598866     9.03265e-07
              15       0.0598866       0.0598866     8.43051e-07
              16       0.0598892       0.0598868     8.05275e-07
              17        0.059889       0.0598869     7.67878e-07
              18       0.0598833       0.0598867     7.51524e-07
              19        0.059888       0.0598868     7.14829e-07
              20       0.0598864       0.0598868     6.79415e-07
